,full_name,influencer_id,influencer_pk,segment_category_cd,segment_category_name,statistics_type
0,롯데월드,happylotteworld,548710091,9,기타(기업),category
1,BeautyPlus Korea,beautyplus_kr,3246940068,9,기타(기업),category
2,잼라이브(JAM LIVE),jamlivetv,7031885194,9,기타(기업),category
3,후후,teamwhowho,3003585709,9,기타(기업),category
4,말씀이 필요할때 쫑끗,saltybrightstudio,1268069658,9,기타(기업),category
5,트리플 TRIPLE,triple.kr,5315504419,9,기타(기업),category
6,"브랜디, 오직 예쁜 옷만 모으다",brandi__official,2218550660,9,기타(기업),category
7,언니의파우치,unpa_beauty,1426268738,9,기타(기업),category
8,FLYBOOK 플라이북,flybook_sns,1618264806,9,기타(기업),category
9,알바천국,albachunkuk,1900760638,9,기타(기업),category
10,"포인핸드 (유기동물 입양, 실종동물 찾기 플랫폼)",pawinhand_official,5062009709,9,기타(기업),category
11,망고플레이트 | MangoPlate,mangoplate,646748795,9,기타(기업),category
12,"명품시계, 명품 중고시계 장터 - 와치마피아앱",watchmafia_official,2204255326,9,기타(기업),category
13,기아자동차,kiamotors.kr,1773297270,9,기타(기업),category
14,lguplus,lguplus_,2282596268,9,기타(기업),category
15,marie claire korea,marieclairekorea,1086313187,9,기타(기업),category
16,W Korea,wkorea,42873193,9,기타(기업),category
17,GQ KOREA,gq_korea,506084014,9,기타(기업),category
18,바디온_비키니(Bodyon_bikini),bodyon_bikini,4020871277,9,기타(기업),category
19,베이비뉴스,ibabynews,3685614769,9,기타(기업),category
20,딩고 뮤직 공식 인스타그램,dingo_music,1999497300,9,기타(기업),category
21,스브스뉴스,subusunews,1681367137,9,기타(기업),category
22,인사이트 트래블,insight.co.kr_travel,2501907117,9,기타(기업),category
23,인사이트 무비,insight_movie,2495389957,9,기타(기업),category
24,민음사,minumsa_books,1935116155,9,기타(기업),category
25,맛집정보특공대,bestgreedfood,3441055803,9,기타(기업),category
26,스타일엑스,stylex_kr,4033799859,9,기타(기업),category
27,밀크매거진,milkorea,1128890306,9,기타(기업),category
28,비즈니스 인사이트,insight_biz,2492517371,9,기타(기업),category
29,디너의여왕,dinnerqueen,1535612487,9,기타(기업),category
30,부산정보통's 맛집 / 카페 / 축제 / 소식 / 뉴스,busan_sources,4086108541,9,기타(기업),category
31,대전맛집,daejeon_mat_jip,1542416211,9,기타(기업),category
32,김은희,news4u_eh,1419517038,9,기타(기업),category
33,부산오빠,busan.oppa,2265103277,9,기타(기업),category
34,맵시언니,mepsiunni,4290457671,9,기타(기업),category
35,고르라 제주,gorra_jeju,1507703025,9,기타(기업),category
36,다다뷰티 DADA Beauty,dada_beauty_,4980713940,9,기타(기업),category
37,울산맛집 / 테이스티울산,tastyulsan,2090669012,9,기타(기업),category
38,SBS뉴스,sbsnews,1661643758,9,기타(기업),category
39,다다푸드 DADA Food,dada_food_,4985954097,9,기타(기업),category
40,더팩트,thefactnews,1434653968,9,기타(기업),category
41,AROUND magazine,aroundmagazine,443079375,9,기타(기업),category
42,runcity,runcity_official,4450043341,9,기타(기업),category
43,EBS STORY,ebsstory,1387488387,9,기타(기업),category
44,아르테 공식 인스타그램❣️,21_arte,2282686724,9,기타(기업),category
45,스타일M StyleM,stylem_official,858686652,9,기타(기업),category
46,위즈덤하우스 미디어그룹,wisdomhouse7,1691329331,9,기타(기업),category
47,세바시,sebasi15,1948514181,9,기타(기업),category
48,OhBoy! 오보이매거진,ohboymagazine,1726465750,9,기타(기업),category
49,YG KPLUS MAGAZINE,ygkplus_magazine,1530892005,9,기타(기업),category
50,Monthly <Design> Magazine,monthlydesign,1458482556,9,기타(기업),category
51,크리스천투데이,krchtoday,3006934433,9,기타(기업),category
52,다다토이 DADA Toy,dada_toy,3021276744,9,기타(기업),category
53,ange 앙쥬매거진 앙쥬,angemoms,5509577205,9,기타(기업),category
54,다다블리 dada_vely,dada_vely_,6729873216,9,기타(기업),category
55,달 출판사,dalpublishers,1759876240,9,기타(기업),category
56,키즈맘,smartkizmom,4292020971,9,기타(기업),category
57,iamfoodstylist | 아이엠푸드스타일리스트,iamfoodstylist,451680195,9,기타(기업),category
58,디아티스트매거진,theartistmagazine,1524603147,9,기타(기업),category
59,연고티비,yonkotv,3231758844,9,기타(기업),category
60,VISLA,vislamag,635658488,9,기타(기업),category
61,도서출판 슬로래빗,slowrabbitco,1693324490,9,기타(기업),category
62,ᴺᴬᴵᴸᴴᴼᴸᴵᶜ ᴼᶠᶠᴵᶜᴵᴬᴸ*네일홀릭 공식,nailholickorea,1989644989,9,기타(기업),category
63,허프포스트코리아,huffpostkorea,1535484509,9,기타(기업),category
64,KT(케이티) 공식 인스타그램,kt.corp,1820496795,9,기타(기업),category
65,SK텔레콤,sktworld,2077755905,9,기타(기업),category
66,tvN,tvn_joy,1458491446,9,기타(기업),category
67,뷰티스케치,beauty.sketch,1319593080,9,기타(기업),category
68,youtube 도캐철이.도그캐슬.포메라니안.말티즈 ℹ,dogcastle3,3268067386,9,기타(기업),category
69,⚾️ 2S3B l 투쓰리 l 투스트라이크 쓰리볼,2s3b_korea,4770197979,9,기타(기업),category
70,플레이리스트,playlist_studio,6050469289,9,기타(기업),category
71,KBS 드라마,kbsdrama,5614316282,9,기타(기업),category
72,MBC DRAMA official,mbcdrama_now,4770338942,9,기타(기업),category
73,JTBC 공식 인스타그램,jtbc.insta,1437914270,9,기타(기업),category
74,비보티비 (송은이 김숙의 비밀보장),vivotv,2993673303,9,기타(기업),category
75,C CHANNEL Korea,cchannel_kr,4473415755,9,기타(기업),category
76,스포티비,spotvsports,1700022833,9,기타(기업),category
77,룰루랄라 뷰티-lululala beauty,lululala_beauty,1126679744,9,기타(기업),category
78,JTBC GOLF,jtbc.golf,2251943738,9,기타(기업),category
79,MBN 드라마 공식 인스타그램,mbn_drama,6821367489,9,기타(기업),category
80,KBS 뉴스,kbsnews,1801889470,9,기타(기업),category
81,𝓔𝓾𝓳𝓾  𝓨𝓮𝓸 / 여의주 아나운서,euju_yeo,3000155583,9,기타(기업),category
82,MBC SPORTS +,mbcsportsplus,1723155499,9,기타(기업),category
83,윤영미 아나운서입니다,yoon_youngme,1693680926,9,기타(기업),category
84,캐내네,knnsns,2051900071,9,기타(기업),category
85,Sunki Chloe Hong 홍선기🍓,sunkiberry,430625429,9,기타(기업),category
86,JTBC <아는형님> 공식계정,jtbcbros,1557083790,9,기타(기업),category
87,<효리네 민박> 공식 인스타그램,hyorine_official,5359936633,9,기타(기업),category
88,JTBC <믹스나인> 공식 인스타그램,jtbc.mixnine,6177411396,9,기타(기업),category
89,정글의 법칙,sbs_jungle,2972461270,9,기타(기업),category
90,김지욱,hustlepd2,1745483592,9,기타(기업),category
