워드,뷰티,패션,푸드,헬스,인테리어,육아,펫,여행,카테고리,격차
시간,98.00%,76.00%,85.00%,93.00%,94.00%,97.00%,87.00%,97.00%,뷰티,0.04545454524793391
오늘,98.00%,90.00%,99.00%,98.00%,95.00%,100.00%,97.00%,98.00%,육아,0.099999999
추천,97.00%,84.00%,84.00%,86.00%,89.00%,92.00%,78.00%,97.00%,뷰티,0.0
요즘,97.00%,80.00%,88.00%,92.00%,87.00%,97.00%,87.00%,86.00%,뷰티,0.0
제품,96.00%,84.00%,74.00%,76.00%,89.00%,87.00%,67.00%,80.00%,뷰티,0.2413793095124851
스타,95.00%,78.00%,94.00%,86.00%,87.00%,95.00%,84.00%,98.00%,여행,0.14999999924999996
사용,95.00%,73.00%,74.00%,71.00%,95.00%,90.00%,63.00%,81.00%,뷰티,0.0
이번,94.00%,85.00%,87.00%,90.00%,85.00%,94.00%,78.00%,92.00%,뷰티,0.0
하루,93.00%,80.00%,87.00%,91.00%,91.00%,95.00%,83.00%,91.00%,육아,0.13333333244444445
여름,93.00%,93.00%,86.00%,88.00%,93.00%,97.00%,78.00%,97.00%,육아,0.0
얼굴,93.00%,64.00%,60.00%,80.00%,56.00%,81.00%,82.00%,68.00%,뷰티,0.2972972964937911
그램,92.00%,65.00%,90.00%,81.00%,76.00%,96.00%,84.00%,96.00%,육아,0.0
시작,92.00%,78.00%,86.00%,93.00%,91.00%,93.00%,81.00%,92.00%,헬스,0.0
선물,92.00%,75.00%,91.00%,83.00%,90.00%,95.00%,88.00%,92.00%,육아,0.14999999924999996
아이,91.00%,64.00%,76.00%,58.00%,94.00%,99.00%,82.00%,83.00%,육아,0.12195121921475316
하나,91.00%,82.00%,90.00%,95.00%,93.00%,94.00%,85.00%,93.00%,헬스,0.07692307633136097
지금,91.00%,81.00%,82.00%,94.00%,86.00%,93.00%,80.00%,91.00%,헬스,0.0714285709183673
바로,91.00%,74.00%,80.00%,88.00%,82.00%,92.00%,78.00%,94.00%,여행,0.09999999949999994
사진,91.00%,87.00%,85.00%,96.00%,92.00%,96.00%,92.00%,93.00%,헬스,0.0
관리,90.00%,52.00%,65.00%,79.00%,69.00%,83.00%,62.00%,69.00%,뷰티,0.18421052583102493
가지,90.00%,75.00%,82.00%,76.00%,92.00%,87.00%,76.00%,84.00%,인테리어,0.1176470581314879
일리,90.00%,78.00%,55.00%,56.00%,62.00%,74.00%,52.00%,74.00%,뷰티,0.3157894728531856
사랑,90.00%,73.00%,87.00%,90.00%,81.00%,93.00%,86.00%,89.00%,육아,0.14999999924999996
한번,90.00%,68.00%,84.00%,87.00%,85.00%,91.00%,77.00%,86.00%,육아,0.04347826068052929
피부,89.00%,62.00%,60.00%,65.00%,65.00%,86.00%,62.00%,68.00%,뷰티,0.10344827550535074
위해,89.00%,62.00%,70.00%,80.00%,84.00%,92.00%,75.00%,77.00%,육아,0.09999999966666662
필수,89.00%,62.00%,72.00%,72.00%,74.00%,84.00%,60.00%,73.00%,뷰티,0.17241379250891797
준비,89.00%,79.00%,84.00%,92.00%,92.00%,95.00%,69.00%,82.00%,육아,0.11538461494082841
아침,89.00%,72.00%,84.00%,87.00%,83.00%,92.00%,76.00%,88.00%,육아,0.14999999924999996
사람,89.00%,79.00%,77.00%,88.00%,81.00%,89.00%,88.00%,91.00%,여행,0.1428571418367347
맛집,88.00%,65.00%,91.00%,72.00%,64.00%,88.00%,57.00%,93.00%,여행,0.05555555540123458
이제,88.00%,80.00%,82.00%,94.00%,83.00%,90.00%,81.00%,86.00%,헬스,0.2857142836734694
구매,88.00%,80.00%,67.00%,70.00%,84.00%,82.00%,65.00%,75.00%,뷰티,0.17391304272211716
진짜,88.00%,70.00%,74.00%,86.00%,69.00%,89.00%,81.00%,89.00%,육아,0.0
생각,88.00%,70.00%,85.00%,89.00%,89.00%,92.00%,88.00%,84.00%,육아,0.13636363574380161
이벤트,87.00%,80.00%,76.00%,75.00%,79.00%,87.00%,69.00%,81.00%,뷰티,0.0
여행,87.00%,70.00%,80.00%,73.00%,78.00%,91.00%,64.00%,99.00%,여행,0.22857142791836738
친구,87.00%,69.00%,82.00%,84.00%,84.00%,94.00%,76.00%,83.00%,육아,0.27999999888000004
뷰티,86.00%,55.00%,52.00%,58.00%,49.00%,74.00%,42.00%,59.00%,뷰티,0.27272727210743797
매일,86.00%,61.00%,77.00%,71.00%,74.00%,83.00%,61.00%,80.00%,뷰티,0.11999999952000007
기분,86.00%,69.00%,77.00%,82.00%,89.00%,90.00%,80.00%,82.00%,육아,0.04761904739229028
고민,86.00%,60.00%,63.00%,68.00%,78.00%,79.00%,61.00%,76.00%,뷰티,0.26923076819526626
느낌,86.00%,69.00%,74.00%,76.00%,93.00%,92.00%,72.00%,85.00%,인테리어,0.041666666493055615
때문,86.00%,59.00%,75.00%,80.00%,77.00%,83.00%,71.00%,68.00%,뷰티,0.11111111069958846
효과,86.00%,61.00%,53.00%,68.00%,68.00%,74.00%,51.00%,65.00%,뷰티,0.342857141877551
일상,85.00%,59.00%,73.00%,78.00%,88.00%,94.00%,64.00%,90.00%,육아,0.11428571395918374
진행,85.00%,69.00%,66.00%,73.00%,75.00%,77.00%,57.00%,61.00%,뷰티,0.2857142846938775
보고,85.00%,62.00%,83.00%,86.00%,74.00%,91.00%,80.00%,90.00%,육아,0.03448275850178362
크림,84.00%,57.00%,72.00%,49.00%,58.00%,85.00%,59.00%,63.00%,육아,0.02777777770061729
완전,84.00%,61.00%,71.00%,62.00%,60.00%,82.00%,61.00%,74.00%,뷰티,0.08333333298611112
모두,84.00%,73.00%,73.00%,80.00%,86.00%,85.00%,78.00%,79.00%,인테리어,0.07692307633136097
정말,84.00%,71.00%,76.00%,84.00%,86.00%,86.00%,82.00%,88.00%,여행,0.1176470581314879
화장품,83.00%,45.00%,45.00%,41.00%,51.00%,76.00%,40.00%,57.00%,뷰티,0.16279069729583562
날씨,83.00%,81.00%,77.00%,78.00%,76.00%,88.00%,66.00%,92.00%,여행,0.15384615325443796
가격,83.00%,72.00%,66.00%,57.00%,80.00%,82.00%,54.00%,83.00%,뷰티,0.0
걱정,82.00%,61.00%,64.00%,71.00%,78.00%,93.00%,72.00%,78.00%,육아,0.3437499989257813
마음,81.00%,66.00%,65.00%,82.00%,81.00%,88.00%,75.00%,83.00%,육아,0.21739130340264656
할인,81.00%,66.00%,60.00%,66.00%,73.00%,80.00%,59.00%,67.00%,뷰티,0.04545454524793391
후기,81.00%,54.00%,55.00%,53.00%,74.00%,71.00%,48.00%,62.00%,뷰티,0.21212121147842056
케어,81.00%,52.00%,43.00%,50.00%,58.00%,76.00%,54.00%,63.00%,뷰티,0.13157894702216066
컬러,81.00%,82.00%,40.00%,48.00%,81.00%,61.00%,51.00%,56.00%,패션,0.023809523752834405
자연,81.00%,47.00%,65.00%,59.00%,75.00%,83.00%,60.00%,67.00%,육아,0.05555555540123458
라인,81.00%,70.00%,35.00%,61.00%,67.00%,67.00%,44.00%,50.00%,뷰티,0.23913043426275993
우리,80.00%,76.00%,87.00%,94.00%,97.00%,99.00%,94.00%,92.00%,육아,0.08695652136105858
수분,80.00%,47.00%,41.00%,53.00%,44.00%,72.00%,40.00%,49.00%,뷰티,0.19999999950000003
여자,80.00%,62.00%,61.00%,78.00%,57.00%,82.00%,55.00%,67.00%,육아,0.07407407379972564
인생,80.00%,55.00%,69.00%,75.00%,55.00%,73.00%,55.00%,84.00%,여행,0.13793103400713436
직접,80.00%,54.00%,74.00%,66.00%,77.00%,83.00%,62.00%,72.00%,육아,0.10344827550535074
자주,80.00%,53.00%,54.00%,56.00%,64.00%,76.00%,54.00%,67.00%,뷰티,0.14814814759945127
인스타,79.00%,52.00%,69.00%,67.00%,61.00%,82.00%,69.00%,69.00%,육아,0.09999999966666662
역시,79.00%,70.00%,80.00%,80.00%,76.00%,92.00%,71.00%,88.00%,육아,0.18181818099173552
