,category,how_many_influencer,words,words_count
0,beauty,100,더,100
0,,,,100
0,,,나,99
0,,,때,98
0,,,것,98
0,,,시간,98
0,,,오늘,98
0,,,추천,97
0,,,요즘,97
0,,,내,97
0,,,후,97
0,,,이,97
0,,,날,97
0,,,위,96
0,,,제품,96
0,,,데,96
0,,,스타,95
0,,,사용,95
0,,,수,94
0,,,이번,94
0,,,집,94
0,,,중,94
0,,,요,94
0,,,하루,93
0,,,로,93
0,,,꼭,93
0,,,전,93
0,,,여름,93
0,,,저,93
0,,,얼굴,93
0,,,그램,92
0,,,템,92
0,,,시작,92
0,,,번,92
0,,,선물,92
0,,,일,92
0,,,아이,91
0,,,감,91
0,,,하나,91
0,,,지금,91
0,,,바로,91
0,,,또,91
0,,,사진,91
0,,,관리,90
0,,,가지,90
0,,,일리,90
0,,,사랑,90
0,,,한번,90
0,,,분,90
0,,,피부,89
0,,,위해,89
0,,,필수,89
0,,,준비,89
0,,,아침,89
0,,,도,89
0,,,사람,89
0,,,해,89
0,,,눈,89
0,,,맛집,88
0,,,거,88
0,,,제,88
0,,,이제,88
0,,,구매,88
0,,,점,88
0,,,진짜,88
0,,,생각,88
0,,,곳,88
0,,,이벤트,87
0,,,여행,87
0,,,물,87
0,,,친구,87
0,,,인,87
0,,,비,87
0,,,뷰티,86
0,,,매일,86
0,,,기분,86
0,,,고민,86
0,,,느낌,86
0,,,때문,86
0,,,끝,86
0,,,효과,86
0,,,개,86
0,,,일상,85
0,,,시,85
0,,,진행,85
0,,,알,85
0,,,용,85
0,,,말,85
0,,,보고,85
0,,,크림,84
0,,,속,84
0,,,완전,84
0,,,모두,84
0,,,정말,84
0,,,화장품,83
0,,,안,83
0,,,손,83
0,,,날씨,83
0,,,그,83
0,,,가격,83
0,,,살,82
0,,,걱정,82
0,,,티,82
0,,,밤,82
0,,,앞,82
0,,,를,82
0,,,맛,81
0,,,향,81
0,,,마음,81
0,,,할인,81
0,,,후기,81
0,,,케어,81
0,,,컬러,81
0,,,자연,81
0,,,라인,81
0,,,우리,80
0,,,수분,80
0,,,등,80
0,,,여자,80
0,,,듯,80
0,,,인생,80
0,,,만,80
0,,,직접,80
0,,,자주,80
0,,,맘,79
0,,,인스타,79
0,,,역시,79
0,,,성분,79
0,,,핫,79
0,,,달,79
0,,,방법,79
0,,,뭐,79
0,,,몸,79
0,,,메이크업,78
0,,,다음,78
0,,,주말,78
0,,,최고,78
0,,,다시,78
0,,,동안,78
0,,,팩,77
0,,,이상,77
0,,,자극,77
0,,,마무리,77
0,,,세트,77
0,,,건강,76
0,,,핑크,76
0,,,은,76
0,,,머리,76
0,,,의,76
0,,,가장,76
0,,,어디,76
0,,,줄,76
0,,,브랜드,76
0,,,좀,76
0,,,글,76
0,,,볼,76
0,,,젤,76
0,,,다른,76
0,,,저녁,76
0,,,확인,76
0,,,영상,76
0,,,바,75
0,,,끈,75
0,,,디자인,75
0,,,왜,75
0,,,출시,75
0,,,걸,75
0,,,유지,75
0,,,종,75
0,,,코스,75
0,,,판매,75
0,,,스킨,75
0,,,그냥,75
0,,,정도,75
0,,,리,75
0,,,라면,74
0,,,카페,74
0,,,참여,74
0,,,단,74
0,,,선택,74
0,,,진정,74
0,,,뷰,74
0,,,에센스,74
0,,,처음,74
0,,,대박,73
0,,,홈,73
0,,,너,73
0,,,행사,73
0,,,및,73
0,,,미세먼지,72
0,,,보습,72
0,,,차,72
0,,,스,72
0,,,배,72
0,,,화장,72
0,,,여기,72
0,,,세상,72
0,,,기간,72
0,,,다이어트,71
0,,,기능,71
0,,,유,71
0,,,꿀,71
0,,,스타일,71
0,,,체험,71
0,,,블랙,71
0,,,사실,71
0,,,도움,70
0,,,오픈,70
0,,,운동,70
0,,,흡수,70
0,,,마지막,70
0,,,조금,70
0,,,비타민,69
0,,,가족,69
0,,,엄마,69
0,,,프리미엄,69
0,,,마스크,69
0,,,힐링,69
0,,,헤어,69
0,,,주문,69
0,,,모든,69
0,,,계속,69
0,,,명,69
0,,,가능,69
0,,,항상,69
0,,,징,68
0,,,제공,68
0,,,온,68
0,,,분위기,68
0,,,무엇,68
0,,,하니,68
0,,,덕분,68
0,,,안심,67
0,,,함유,67
0,,,선,67
0,,,커피,67
0,,,증정,67
0,,,타입,67
0,,,휴가,67
0,,,언제,67
0,,,함,67
0,,,레드,67
0,,,통,67
0,,,난,67
0,,,무,66
0,,,봄,66
0,,,커버,66
0,,,완성,66
0,,,장,66
0,,,입,66
0,,,미니,66
0,,,제일,66
0,,,더욱,66
0,,,벌써,66
0,,,제거,66
0,,,이건,66
0,,,소개,66
0,,,그대로,66
0,,,프로,66
0,,,게,65
0,,,발라,65
0,,,가득,65
0,,,부담,65
0,,,메,65
0,,,추가,65
0,,,워터,65
0,,,톤,65
0,,,기념,65
0,,,기대,65
0,,,과,65
0,,,건,64
0,,,무료,64
0,,,오후,64
0,,,지속,64
0,,,인증,64
0,,,옷,64
0,,,보,64
0,,,방,64
0,,,보기,64
0,,,부분,64
0,,,탄력,64
0,,,데이트,64
0,,,기,64
0,,,쉬,64
0,,,한국,64
0,,,뿐,64
0,,,간식,63
0,,,영양,63
0,,,작성,63
0,,,목,63
0,,,오일,63
0,,,적임,63
0,,,트리,63
0,,,추출,63
0,,,배송,63
0,,,이드,63
0,,,각질,63
0,,,법,63
0,,,그린,63
0,,,기도,63
0,,,소통,62
0,,,국내,62
0,,,먹기,62
0,,,산,62
0,,,베이스,62
0,,,주름,62
0,,,개선,62
0,,,자꾸,62
0,,,냄새,62
0,,,조합,62
0,,,제대로,62
0,,,리뷰,62
0,,,사이즈,62
0,,,기회,62
0,,,임,62
0,,,젠,62
0,,,테스트,62
0,,,첫,62
0,,,리얼,62
0,,,종일,62
0,,,참고,62
0,,,피부관리,61
0,,,땐,61
0,,,바디,61
0,,,발,61
0,,,포인트,61
0,,,음식,61
0,,,아주,61
0,,,해도,61
0,,,링크,61
0,,,피,61
0,,,서울,61
0,,,쿠션,60
0,,,포,60
0,,,신제품,60
0,,,천연,60
0,,,댓글,60
0,,,차단,60
0,,,요리,60
0,,,밥,60
0,,,애,60
0,,,나들이,60
0,,,완료,60
0,,,이유,60
0,,,스트레스,60
0,,,패션,60
0,,,코덕,60
0,,,거리,60
0,,,남자,60
0,,,뒤,60
0,,,내일,60
0,,,신상,60
0,,,여성,60
0,,,힘,60
0,,,매트,60
0,,,올리브영,59
0,,,매장,59
0,,,미백,59
0,,,디,59
0,,,자외선,59
0,,,인기,59
0,,,정,59
0,,,상큼,59
0,,,트,59
0,,,밀착,59
0,,,상품,59
0,,,공식,59
0,,,주,59
0,,,아이템,59
0,,,존,59
0,,,쏙,58
0,,,가방,58
0,,,막,58
0,,,트러블,58
0,,,매력,58
0,,,조절,58
0,,,방문,58
0,,,취향,58
0,,,통해,58
0,,,박스,58
0,,,움,58
0,,,광고,58
0,,,터,58
0,,,품,57
0,,,감성,57
0,,,샴푸,57
0,,,중이,57
0,,,못,57
0,,,앤,57
0,,,짐,57
0,,,예정,57
0,,,생기,57
0,,,형,57
0,,,스토어,57
0,,,빛,57
0,,,기존,57
0,,,개인,57
0,,,정리,57
0,,,바람,57
0,,,홈페이지,57
0,,,메뉴,56
0,,,당첨,56
0,,,신경,56
0,,,인테리어,56
0,,,셀프,56
0,,,곧,56
0,,,션,56
0,,,초,56
0,,,마,56
0,,,충전,56
0,,,패키지,56
0,,,나이,56
0,,,미리,56
0,,,누구,56
0,,,최애,56
0,,,기초,56
0,,,화이트,56
0,,,외출,55
0,,,기본,55
0,,,활동,55
0,,,집중,55
0,,,다리,55
0,,,스틱,55
0,,,면,55
0,,,키,55
0,,,럼,55
0,,,워,55
0,,,치,55
0,,,검색,55
0,,,마사지,55
0,,,병,55
0,,,이용,55
0,,,길,55
0,,,이름,55
0,,,만족,55
0,,,결,55
0,,,평소,55
0,,,어제,55
0,,,링,55
0,,,선크림,54
0,,,보호,54
0,,,휴대,54
0,,,멀티,54
0,,,플러스,54
0,,,파우치,54
0,,,생,54
0,,,용량,54
0,,,도전,54
0,,,처,54
0,,,건조,54
0,,,맥주,54
0,,,팅,54
0,,,끼,54
0,,,땀,54
0,,,준,54
0,,,샷,54
0,,,구,54
0,,,로션,53
0,,,풀,53
0,,,먹방,53
0,,,클렌,53
0,,,앰플,53
0,,,강,53
0,,,최대,53
0,,,쇼핑,53
0,,,하나로,53
0,,,혼자,53
0,,,구성,53
0,,,별로,53
0,,,총,53
0,,,가성,53
0,,,모공,53
0,,,고객,53
0,,,프로필,53
0,,,고급,53
0,,,립,53
0,,,골드,53
0,,,식품,52
0,,,점심,52
0,,,드,52
0,,,모델,52
0,,,혜택,52
0,,,먼저,52
0,,,볼륨,52
0,,,네이버,52
0,,,호,52
0,,,커플,52
0,,,파티,52
0,,,공유,52
0,,,층,52
0,,,촉촉,52
0,,,살짝,52
0,,,얼마,52
0,,,언니,52
0,,,예약,52
0,,,아기,51
0,,,톤업,51
0,,,우유,51
0,,,타임,51
0,,,클렌징,51
0,,,인스타그램,51
0,,,온라인,51
0,,,파운데이션,51
0,,,시즌,51
0,,,애정,51
0,,,달달,51
0,,,거품,51
0,,,촬영,51
0,,,한정,51
0,,,부터,51
0,,,해결,51
0,,,셀카,51
0,,,데이,51
0,,,책,50
0,,,덕후,50
0,,,만들기,50
0,,,식사,50
0,,,오전,50
0,,,점점,50
0,,,세계,50
0,,,톡,50
0,,,생활,50
0,,,공간,50
0,,,롯데,50
0,,,저격,50
0,,,거기,50
0,,,선정,50
0,,,늘,50
0,,,인정,50
0,,,착용,50
0,,,블루,50
0,,,소리,50
0,,,서비스,50
0,,,전체,50
0,,,쿠폰,50
0,,,활용,49
0,,,구입,49
0,,,백화점,49
0,,,샤워,49
0,,,방지,49
0,,,토,49
0,,,빵,49
0,,,물이,49
0,,,에어,49
0,,,핏,49
0,,,찰떡,49
0,,,순간,49
0,,,영화,49
