influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
7504112439,no need to know,beauty,그램,193
,,,스타,122
,,,육아,74
,,,추천,57
,,,다이어트,53
,,,뷰티,49
,,,맘,49
,,,키즈,48
,,,피부,47
,,,선크림,42
,,,아이,41
,,,크림,36
,,,수,33
,,,아기,32
,,,떡볶이,31
,,,건강,30
,,,비타민,30
,,,인스타,25
,,,화장품,24
,,,안이,24
,,,관리,22
,,,위해,22
,,,맛,22
,,,플루,22
,,,이벤트,21
,,,소통,21
,,,우리,20
,,,사용,20
,,,톤업,19
,,,요즘,19
,,,어린이,19
,,,여행,19
,,,맛집,18
,,,치킨,17
,,,가족,16
,,,더,16
,,,팩,15
,,,공주,15
,,,젤리,15
,,,로션,15
,,,책,15
,,,썬크림,14
,,,징,14
,,,딸,14
,,,유아,14
,,,무,14
,,,간식,14
,,,때,14
,,,아스타,14
,,,템,13
,,,역시,13
,,,성분,13
,,,주스,13
,,,베개,13
,,,거,13
,,,기능,13
,,,물,13
,,,베이비,13
,,,내,12
,,,일상,12
,,,야채,12
,,,닭,12
,,,위,12
,,,것,11
,,,후,11
,,,하루,11
,,,외출,11
,,,향,11
,,,안심,11
,,,국내,11
,,,제품,11
,,,미세먼지,11
,,,쿠션,11
,,,감,11
,,,필수,11
,,,티켓,11
,,,도서,11
,,,라면,11
,,,카페,11
,,,핑크,10
,,,살,10
,,,쏙,10
,,,양제,10
,,,엄마,10
,,,올리브영,10
,,,수분,10
,,,이,10
,,,심리상담,10
,,,대박,9
,,,준비,9
,,,속,9
,,,시작,9
,,,마음,9
,,,면역,9
,,,등,9
,,,건,9
,,,슬,9
,,,프리미엄,9
,,,할인,9
,,,바,9
,,,로,9
,,,여자,9
,,,유기농,9
,,,줌마,9
,,,스텔라,9
,,,보습,9
,,,허그,9
,,,홍삼,9
,,,마스크,9
,,,차,8
,,,함유,8
,,,이번,8
,,,번,8
,,,매일,8
,,,아침,8
,,,나,8
,,,제,8
,,,가슴,8
,,,꼭,8
,,,시,8
,,,무료,8
,,,이상,8
,,,봄,8
,,,은,8
,,,라임,8
,,,커버,8
,,,상담,8
,,,재생,8
,,,대만,8
,,,노노,7
,,,이제,7
,,,런가,7
,,,집,7
,,,타일,7
,,,자꾸만,7
,,,워시,7
,,,전,7
,,,굽,7
,,,영양,7
,,,메뉴,7
,,,제공,7
,,,스,7
,,,버거킹,7
,,,진행,7
,,,핫,7
,,,후기,7
,,,작성,7
,,,떡,7
,,,풀,7
,,,구매,7
,,,유,7
,,,게,7
,,,힐링,7
,,,참여,7
,,,기본,7
,,,아이스,7
,,,선,7
,,,발라,7
,,,무기,7
,,,학습,7
,,,버거,7
,,,아토,7
,,,메이크업,6
,,,듯,6
,,,안,6
,,,도,6
,,,주부,6
,,,인지,6
,,,모습,6
,,,먹기,6
,,,업,6
,,,품,6
,,,포,6
,,,케어,6
,,,목,6
,,,다음,6
,,,대요,6
,,,초크,6
,,,가득,6
,,,단,6
,,,레오,6
,,,독퍼,6
,,,반려견,6
,,,크릴,6
,,,식품,6
,,,컬러,6
,,,미인,6
,,,하나,6
,,,오후,6
,,,음료,6
