,category,how_many_influencer,words,words_count
0,fashion,100,,100
0,,,여름,93
0,,,더,93
0,,,오늘,90
0,,,날,88
0,,,데,87
0,,,사진,87
0,,,이,87
0,,,일,86
0,,,중,86
0,,,수,86
0,,,이번,85
0,,,제품,84
0,,,나,84
0,,,전,84
0,,,후,84
0,,,추천,84
0,,,때,82
0,,,컬러,82
0,,,하나,82
0,,,지금,81
0,,,날씨,81
0,,,것,81
0,,,하루,80
0,,,요즘,80
0,,,이벤트,80
0,,,구매,80
0,,,또,80
0,,,비,80
0,,,이제,80
0,,,눈,80
0,,,준비,79
0,,,사람,79
0,,,거,79
0,,,일리,78
0,,,스타,78
0,,,옷,78
0,,,시작,78
0,,,분,78
0,,,내,77
0,,,도,77
0,,,제,77
0,,,위,77
0,,,우리,76
0,,,시간,76
0,,,집,76
0,,,선물,75
0,,,안,75
0,,,앞,75
0,,,디자인,75
0,,,가지,75
0,,,주말,74
0,,,저,74
0,,,로,74
0,,,요,74
0,,,바로,74
0,,,감,74
0,,,사용,73
0,,,사랑,73
0,,,모두,73
0,,,꼭,73
0,,,만,72
0,,,시,72
0,,,가격,72
0,,,아침,72
0,,,티,71
0,,,블랙,71
0,,,최고,71
0,,,정말,71
0,,,해,71
0,,,신상,70
0,,,생각,70
0,,,여행,70
0,,,역시,70
0,,,진짜,70
0,,,번,70
0,,,곳,70
0,,,라인,70
0,,,내일,69
0,,,카페,69
0,,,진행,69
0,,,오픈,69
0,,,스타일,69
0,,,기분,69
0,,,친구,69
0,,,맛,69
0,,,느낌,69
0,,,한번,68
0,,,개,68
0,,,화이트,67
0,,,끝,67
0,,,점,67
0,,,머리,66
0,,,할인,66
0,,,용,66
0,,,주문,66
0,,,저녁,66
0,,,마음,66
0,,,휴가,66
0,,,좀,66
0,,,줄,66
0,,,살,66
0,,,그램,65
0,,,맛집,65
0,,,말,65
0,,,다시,65
0,,,마지막,64
0,,,다음,64
0,,,얼굴,64
0,,,맘,64
0,,,걸,64
0,,,아이템,64
0,,,속,64
0,,,그,64
0,,,아이,64
0,,,패션,63
0,,,코디,63
0,,,너,63
0,,,등,63
0,,,이상,63
0,,,처음,63
0,,,왜,63
0,,,세트,62
0,,,위해,62
0,,,필수,62
0,,,여자,62
0,,,보고,62
0,,,레드,62
0,,,어디,62
0,,,미니,62
0,,,템,62
0,,,달,62
0,,,세상,62
0,,,핫,62
0,,,피부,62
0,,,물,62
0,,,가방,62
0,,,뭐,62
0,,,모든,61
0,,,걱정,61
0,,,추가,61
0,,,효과,61
0,,,분위기,61
0,,,핏,61
0,,,인,61
0,,,차,61
0,,,원피스,61
0,,,완전,61
0,,,손,61
0,,,매일,61
0,,,기간,60
0,,,밤,60
0,,,입,60
0,,,동안,60
0,,,고민,60
0,,,일상,59
0,,,때문,59
0,,,사이즈,59
0,,,그냥,59
0,,,상품,59
0,,,주,59
0,,,다른,59
0,,,참여,59
0,,,완료,59
0,,,정도,59
0,,,벌써,58
0,,,볼,58
0,,,브랜드,57
0,,,예정,57
0,,,몸,57
0,,,제일,57
0,,,인기,57
0,,,여기,57
0,,,가장,57
0,,,크림,57
0,,,계속,57
0,,,데이트,56
0,,,조금,56
0,,,엄마,56
0,,,봄,56
0,,,배송,56
0,,,뒤,56
0,,,쇼핑,55
0,,,뷰티,55
0,,,바,55
0,,,시즌,55
0,,,인생,55
0,,,판매,55
0,,,드,55
0,,,제작,55
0,,,를,55
0,,,의,55
0,,,후기,54
0,,,영상,54
0,,,스,54
0,,,착용,54
0,,,직접,54
0,,,바람,54
0,,,팩,54
0,,,배,54
0,,,촬영,53
0,,,디,53
0,,,여성,53
0,,,어제,53
0,,,자주,53
0,,,길,53
0,,,다이어트,53
0,,,통해,53
0,,,핑크,53
0,,,선택,53
0,,,관리,52
0,,,방법,52
0,,,피,52
0,,,목,52
0,,,가능,52
0,,,인스타,52
0,,,통,52
0,,,서울,52
0,,,못,52
0,,,포인트,52
0,,,단,52
0,,,케어,52
0,,,향,52
0,,,첫,52
0,,,온,52
0,,,알,52
0,,,모델,51
0,,,블루,51
0,,,오후,51
0,,,은,51
0,,,다리,51
0,,,키,51
0,,,행사,50
0,,,문의,50
0,,,가족,50
0,,,선,50
0,,,무료,50
0,,,무,50
0,,,감성,50
0,,,기대,50
0,,,완성,50
0,,,소개,50
0,,,성분,50
0,,,장,50
0,,,끈,50
0,,,기능,50
0,,,언제,50
0,,,건,49
0,,,확인,49
0,,,출시,49
0,,,부분,49
0,,,커피,49
0,,,가득,49
0,,,건강,49
0,,,미리,49
0,,,아주,49
0,,,커버,49
0,,,밥,49
0,,,운동,48
0,,,쉬,48
0,,,게,48
0,,,꽃,48
0,,,함,48
0,,,발,48
0,,,기,48
0,,,덕분,48
0,,,스토어,48
0,,,과,48
0,,,참고,48
0,,,두,48
0,,,바디,48
0,,,마무리,47
0,,,헤어,47
0,,,자연,47
0,,,꿀,47
0,,,중이,47
0,,,매력,47
0,,,움,47
0,,,수분,47
0,,,체험,47
0,,,도움,47
0,,,점심,47
0,,,홈,47
0,,,유,46
0,,,종일,46
0,,,힐링,46
0,,,곧,46
0,,,먼저,46
0,,,당첨,46
0,,,구성,46
0,,,젤,46
0,,,화장,46
0,,,리얼,46
0,,,혼자,45
0,,,바다,45
0,,,무엇,45
0,,,이유,45
0,,,보습,45
0,,,타임,45
0,,,트,45
0,,,톤,45
0,,,화장품,45
0,,,대박,44
0,,,메이크업,44
0,,,팅,44
0,,,징,44
0,,,남자,44
0,,,커플,44
0,,,하니,44
0,,,워,44
0,,,파티,44
0,,,듯,44
0,,,국내,44
0,,,명,44
0,,,기본,44
0,,,작성,44
0,,,제대로,44
0,,,코,44
0,,,스킨,44
0,,,보,44
0,,,매장,43
0,,,방문,43
0,,,호,43
0,,,링크,43
0,,,정리,43
0,,,롱,43
0,,,난,43
0,,,힘,43
0,,,땀,43
0,,,코스,43
0,,,겨울,43
0,,,더욱,43
0,,,소재,43
0,,,프리미엄,43
0,,,댓글,43
0,,,진정,43
0,,,오전,43
