influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
1658066338,no need to know,fashion,세종,62
,,,오늘,60
,,,쇼핑,57
,,,의류,53
,,,반에이크,45
,,,매장,44
,,,브랜드,41
,,,나성동,37
,,,일리,35
,,,아트,35
,,,리움,35
,,,데,33
,,,일상,25
,,,신상,24
,,,여름,24
,,,내일,22
,,,퇴근,21
,,,제품,21
,,,날,20
,,,패션,20
,,,대전,20
,,,손님,20
,,,주말,19
,,,카페,17
,,,셀카,17
,,,셀피,17
,,,후기,17
,,,촬영,17
,,,생각,16
,,,행사,16
,,,소통,16
,,,오프라인,15
,,,항상,15
,,,스타,15
,,,일,15
,,,우리,15
,,,타워,15
,,,청주,14
,,,하루,14
,,,방문,13
,,,더,13
,,,얼,13
,,,준비,13
,,,공주,12
,,,나,12
,,,공구,12
,,,요즘,12
,,,그램,12
,,,샷,12
,,,온라인,11
,,,립스틱,11
,,,립,11
,,,여친,10
,,,여행,10
,,,노력,10
,,,관리,10
,,,뷰티,9
,,,드라이브,9
,,,진행,9
,,,전,9
,,,머리,9
,,,저,9
,,,조치원,9
,,,여신,9
,,,어,9
,,,때문,9
,,,만,9
,,,코디,8
,,,저희,8
,,,이벤트,8
,,,시계,8
,,,구매,8
,,,할인,8
,,,푸드,8
,,,티디,8
,,,유,8
,,,내,8
,,,시간,8
,,,지금,8
,,,때,8
,,,아울렛,8
,,,데이트,7
,,,선물,7
,,,마지막,7
,,,후,7
,,,마켓,7
,,,굿나잇,7
,,,또,7
,,,오오,7
,,,조금,7
,,,맛집,7
,,,혼자,7
,,,단골,7
,,,층,7
,,,오송,6
,,,디,6
,,,문의,6
,,,티,6
,,,대박,6
,,,사람,6
,,,메이크업,6
,,,프리,6
,,,동영상,6
,,,성비,6
,,,용,6
,,,추천,6
,,,신경,6
,,,샌들,6
,,,옷,6
,,,유민,6
,,,띠,6
,,,월요일,5
,,,안무,5
,,,즉흥,5
,,,매출,5
,,,긍정,5
,,,여성,5
,,,예정,5
,,,마무리,5
,,,화이트,5
,,,코드,5
,,,오픈,5
,,,트럭,5
,,,세트,5
,,,중,5
,,,가을,5
,,,펌프,5
,,,지인,5
,,,필러,5
,,,출근,5
,,,마인드,5
,,,하자,5
,,,호,5
,,,끝,5
,,,컷,5
,,,작가,5
,,,비,5
,,,컬러,5
,,,니트,5
,,,주문,5
,,,고객,5
,,,역시,4
,,,세종대,4
,,,모든,4
,,,링크,4
,,,나토,4
,,,가족,4
,,,헤어,4
,,,물놀이,4
,,,작업,4
,,,질,4
,,,박,4
,,,팅,4
,,,스타일,4
,,,컨트롤,4
,,,다짐,4
,,,탈출,4
,,,점,4
,,,와중,4
,,,이제,4
,,,진짜,4
,,,건,4
,,,시작,4
,,,어제,4
,,,사진,4
,,,빠이팅,4
,,,웨딩,4
,,,원단,4
,,,금액,4
,,,사장,4
,,,도,4
,,,어머님,4
,,,후기샷,4
,,,가성,4
,,,사이즈,4
,,,피스,4
,,,겸,3
,,,아,3
,,,찌,3
,,,운동,3
,,,쇼핑몰,3
,,,세,3
,,,호텔,3
,,,델,3
,,,루나,3
,,,징,3
,,,이,3
,,,기분,3
,,,저녁,3
,,,바,3
,,,주시,3
,,,최대,3
,,,신제품,3
,,,기간,3
,,,사이트,3
,,,다니엘,3
,,,팔찌,3
,,,놀러와,3
,,,수고,3
,,,걱정,3
,,,반응,3
,,,스커트,3
,,,번,3
,,,위해,3
,,,입술,3
,,,핏러,3
,,,요가복,3
,,,라라,3
,,,보스,3
,,,박아,3
,,,곳,3
,,,필수,3
,,,블라우스,3
,,,업무,3
,,,다음,3
,,,쪽,3
,,,주차,3
,,,칭찬,3
,,,양해,3
,,,날씨,3
,,,공지,3
,,,야외,3
,,,원본,3
,,,여자친구,3
,,,대학생,3
,,,실화,3
,,,스트레스,3
,,,귀가,3
,,,마음,3
,,,무족,3
,,,계획,3
,,,플랜,3
,,,정리,3
,,,몸,3
,,,방법,3
,,,이후,3
,,,것,3
,,,목요일,3
,,,확인,3
,,,레깅스,3
,,,자주,3
,,,꽃집,3
,,,목원대,3
,,,롱,3
,,,책,3
,,,스냅,3
,,,스포,3
,,,제,3
,,,가디건,3
,,,별로,3
,,,너,3
,,,아미,3
,,,투,3
,,,세련,3
,,,소화,3
,,,배달,2
,,,천안,2
,,,영상,2
,,,연습,2
,,,청,2
,,,방송,2
,,,취미,2
,,,헬스,2
,,,평일,2
,,,기회,2
,,,피드,2
,,,세용,2
,,,디엠,2
,,,안,2
,,,남성,2
,,,거,2
,,,행동,2
,,,데일,2
,,,시,2
,,,브레이,2
,,,슬릿,2
,,,스트랩,2
,,,출시,2
,,,입력,2
,,,추가,2
,,,유효,2
,,,공식,2
,,,웰링턴,2
,,,뱅글,2
,,,여자,2
,,,남자,2
,,,밴드,2
,,,이성경,2
,,,반대쪽,2
,,,나인,2
,,,테마,2
,,,파크,2
,,,온라인쇼핑,2
,,,난,2
,,,심플,2
,,,제일,2
,,,집중,2
,,,뉴스,2
,,,노래,2
,,,크게,2
,,,아가,2
,,,반,2
,,,블로그,2
,,,휴가,2
,,,꼬,2
,,,립핏러,2
,,,냉면,2
,,,운동복,2
,,,서천,2
,,,커플,2
,,,일도,2
,,,바다,2
,,,금요일,2
,,,친구,2
,,,힘,2
,,,좀,2
,,,늘,2
,,,줄,2
,,,땀,2
,,,눈,2
,,,쉬,2
,,,쭉,2
,,,영업,2
,,,끄읏,2
,,,하즈,2
,,,광장,2
,,,로,2
,,,토요일,2
,,,실행,2
,,,잠시,2
,,,대행,2
,,,가입,2
,,,무엇,2
,,,금,2
,,,답,2
,,,학생,2
,,,남,2
,,,댄스,2
,,,바지,2
,,,인스타그램,2
,,,풀기,2
,,,급,2
,,,대화,2
,,,길,2
,,,게,2
,,,마음가짐,2
,,,하나,2
,,,이유,2
,,,이슬,2
,,,쌤,2
,,,감사,2
,,,소리,2
,,,분한,2
,,,요일,2
,,,앞,2
,,,말,2
,,,목표,2
,,,발전,2
,,,나름,2
,,,정신,2
,,,보즈,2
,,,향수,2
,,,도착,2
,,,정산,2
,,,드레스,2
,,,종일,2
,,,마감,2
,,,논산,2
,,,벌써,2
,,,민낯,2
,,,뿐,2
,,,욕심,2
,,,그냥,2
,,,굿모닝,2
,,,박나래,2
,,,색감,2
,,,보기,2
,,,효과,2
,,,엑스,2
,,,틴,2
,,,매트,2
,,,누구,2
,,,물건,2
,,,편이,2
,,,트레이닝복,2
,,,아디다스,2
,,,보정,2
,,,스타벅스,2
,,,수원,2
,,,얼굴,2
,,,분위기,2
,,,화분,2
,,,슬리퍼,2
,,,가격,2
,,,한진택배,2
,,,권,2
,,,청바지,2
,,,장마,2
,,,낚사님,2
,,,팀,2
,,,업데,2
,,,선,2
,,,인기,2
,,,알라딘,2
,,,장옷,2
,,,핏,2
,,,수요일,2
,,,조,2
,,,두번째,2
,,,꽃,2
,,,아웃,2
,,,블랙,2
,,,최고,2
,,,효자,2
,,,상품,2
,,,자기,2
,,,하니,2
,,,강추,2
,,,공주대,2
,,,찰떡,2
,,,꽃다발,2
,,,가시,2
,,,무보정,1
,,,패드,1
,,,점퍼,1
,,,트레이닝,1
,,,활용,1
,,,최,1
,,,고취,1
,,,상대,1
,,,보고,1
,,,함,1
,,,되긴되넹,1
,,,잡고,1
,,,스내핑,1
,,,멜론,1
,,,여진구,1
,,,아이유,1
,,,심장마비,1
,,,꿈,1
,,,나와라,1
,,,비자,1
,,,괜,1
,,,드라마,1
,,,꿀잼,1
,,,발,1
,,,불,1
,,,삼겹살,1
,,,카페나,1
,,,미용실,1
,,,시급,1
,,,맛,1
,,,레드,1
,,,위키드,1
,,,발색,1
,,,지속,1
,,,눈팅,1
,,,외,1
,,,답장,1
,,,부담,1
,,,사적,1
,,,자제,1
,,,리뷰,1
,,,샤넬,1
,,,반지,1
,,,잭슨,1
,,,스,1
,,,어디,1
,,,흥해,1
,,,겸사겸사,1
,,,어린이,1
,,,파크랜드,1
,,,왔쯔,1
,,,라푼젤,1
,,,직전,1
,,,일기,1
,,,안일,1
,,,고생,1
,,,규,1
,,,피자,1
,,,스파,1
,,,게리,1
,,,먹방,1
,,,팔,1
,,,어반,1
,,,이따,1
,,,밤낮,1
,,,머메이드,1
,,,스트라이프,1
,,,일코,1
,,,이쁜뒈,1
,,,음,1
,,,이효리,1
,,,죵,1
,,,보아,1
,,,세일,1
,,,아침,1
,,,전쟁,1
,,,통행,1
