influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
3560089886,no need to know,food,맛집,229
,,,그램,184
,,,스타,125
,,,여행,104
,,,맛,101
,,,카페,63
,,,먹방,52
,,,돼지,51
,,,추천,49
,,,제주도,48
,,,맛스타,47
,,,치즈,45
,,,떡,44
,,,간식,40
,,,답례,38
,,,소스,35
,,,주문,35
,,,닭발,35
,,,요리,33
,,,야식,33
,,,서울,32
,,,수,31
,,,메뉴,31
,,,디저트,31
,,,닭,30
,,,곳,29
,,,빵,29
,,,강남,29
,,,품,29
,,,크림,28
,,,치킨,28
,,,엄마,26
,,,부평,26
,,,가슴,25
,,,때,24
,,,고기,24
,,,커피,24
,,,살,23
,,,식사,23
,,,오늘,22
,,,커리,21
,,,밥,21
,,,가족,21
,,,제주,21
,,,서귀포,21
,,,도시락,21
,,,인천,21
,,,오사카,21
,,,집,20
,,,거리,20
,,,친구,20
,,,샐러드,19
,,,교자,19
,,,선릉역,19
,,,일본,19
,,,이제,19
,,,가성,18
,,,점심,18
,,,삼겹살,18
,,,선물,17
,,,데이트,17
,,,카레,17
,,,다이어트,16
,,,웃,16
,,,분위기,16
,,,찜닭,16
,,,환상,16
,,,나들이,16
,,,저녁,16
,,,야채,16
,,,장소,15
,,,달빛,15
,,,쇼핑,15
,,,만두,15
,,,산책,15
,,,후,15
,,,편의점,15
,,,피자,15
,,,나,14
,,,여름,14
,,,일,14
,,,제품,14
,,,방문,14
,,,모임,14
,,,순이,14
,,,점,14
,,,여행기,14
,,,해물,14
,,,매콤,14
,,,인도,14
,,,생,14
,,,선릉,14
,,,메밀,14
,,,결혼,13
,,,고고,13
,,,회식,13
,,,향,13
,,,레스토랑,13
,,,고로케,13
,,,익선동,13
,,,입,12
,,,돌,12
,,,짐,12
,,,등,12
,,,일품,12
,,,대박,12
,,,아이,12
,,,하나,12
,,,종로,12
,,,샌드위치,12
,,,전골,12
,,,수박,12
,,,몸,11
,,,출시,11
,,,빚,11
,,,역시,11
,,,활동,11
,,,가로수길,11
,,,우리,11
,,,입맛,11
,,,자주,11
,,,시간,11
,,,튀김,11
,,,버거킹,11
,,,정말,11
,,,족발,11
,,,사당,11
,,,프리미엄,11
,,,태국,11
,,,얌,10
,,,최고,10
,,,매장,10
,,,주말,10
,,,새우,10
,,,말,10
,,,비,10
,,,제공,10
,,,또,10
,,,직접,10
,,,배,10
,,,하루,10
,,,세트,10
,,,구이,10
,,,내,10
,,,합,10
,,,곱창,10
,,,냉면,10
,,,라멘,10
,,,문화유산,10
,,,포장,9
,,,사용,9
,,,음식,9
,,,케잌,9
,,,눈,9
,,,배송,9
,,,통,9
,,,운,9
,,,창,9
,,,국수,9
,,,비갑,9
,,,망,9
,,,국물,9
,,,끼,9
,,,길,9
,,,더,9
,,,불,9
,,,한우,9
,,,안,9
,,,명태,9
,,,코다리,9
,,,와플,9
,,,일본여행,9
,,,브런치,9
,,,삼겹,9
,,,미나리,9
,,,떡볶이,9
,,,직화,9
,,,교토,9
,,,복숭아,9
,,,쇼팽,9
,,,라이스,8
,,,더욱,8
,,,돌잔치,8
,,,망고,8
,,,입안,8
,,,핫,8
,,,국민,8
,,,서포터즈,8
,,,및,8
,,,체력,8
,,,흡입,8
,,,별로,8
,,,인,8
,,,앞,8
,,,봉추,8
,,,누룽지,8
,,,호,8
,,,손,8
,,,이벤트,8
,,,샤브샤브,8
,,,호텔,8
,,,사실,8
,,,고사리,8
,,,바삭,8
,,,세계,8
,,,골목,8
,,,나비,8
,,,명동,8
,,,조합,8
,,,부천,8
,,,캔,8
,,,갈비,8
,,,사당역,8
,,,시작,8
,,,밤,8
,,,메밀막국수,8
,,,홈,8
,,,카스테라,8
,,,돌뼈,8
,,,웨,8
,,,식단,7
,,,위,7
,,,감동,7
,,,바람떡,7
,,,구매,7
,,,시,7
,,,용,7
,,,사랑,7
,,,전,7
,,,압구정,7
,,,사진,7
,,,회,7
,,,동네,7
,,,식당,7
,,,풍경,7
,,,돼지고기,7
,,,사람,7
,,,꼭,7
,,,말고기,7
,,,매니아,7
,,,공원,7
,,,연필,7
,,,옥,7
,,,마을,7
,,,칵테일,7
,,,돼지갈비,7
,,,전자렌지,7
,,,술안주,7
,,,과일,7
,,,해외여행,7
,,,패키지,7
,,,닭갈비,7
,,,알,6
,,,애완동물,6
,,,앵무새,6
,,,새,6
,,,보신,6
,,,국내,6
,,,육즙,6
,,,오픈,6
,,,인테리어,6
,,,뷔페,6
,,,고급,6
,,,오색,6
,,,무지개,6
,,,짱,6
,,,기본,6
,,,택배,6
,,,라면,6
,,,집밥,6
,,,문어,6
,,,함,6
,,,감자,6
,,,성공,6
,,,신사역,6
,,,아침,6
,,,함덕,6
,,,쫄깃쫄깃,6
,,,양,6
,,,양념,6
,,,인정,6
,,,달달,6
,,,징,6
,,,가게,6
,,,손님,6
,,,배달,6
,,,감상,6
,,,베나레스,6
,,,상큼,6
,,,쉐프,6
,,,음료,6
,,,라떼,6
,,,한정,6
,,,중문,6
,,,천제연폭포,6
,,,가이드,6
,,,공연,6
,,,살짝,6
,,,볶음밥,6
,,,쫄깃,6
,,,꿀,6
,,,종,6
,,,드로잉,6
,,,이태원,6
,,,고추,6
,,,빵집,6
,,,쫄,6
,,,낙지,6
,,,판매,6
,,,초코,6
,,,성종,6
,,,가지,6
,,,혼술,6
,,,필수,6
,,,세상,6
,,,홍대,6
,,,트래블,6
,,,심,5
,,,욧,5
,,,애완조,5
,,,영양,5
,,,굽,5
,,,드,5
,,,개,5
,,,행사,5
,,,얼,5
,,,할인,5
,,,정통,5
,,,가득,5
,,,제대로,5
,,,만,5
,,,신청,5
,,,볼,5
,,,코이카,5
,,,듬뿍,5
,,,보양식,5
,,,중국,5
,,,탐방,5
,,,여수,5
,,,중,5
,,,횟집,5
,,,보관,5
,,,가격,5
,,,문화,5
,,,당일,5
,,,두툼,5
,,,김치찌개,5
,,,계속,5
,,,역삼,5
,,,날,5
,,,도,5
,,,난,5
