,category,how_many_influencer,words,words_count
0,health,100,,100
0,,,더,99
0,,,오늘,98
0,,,때,98
0,,,나,97
0,,,사진,96
0,,,날,96
0,,,내,96
0,,,하나,95
0,,,우리,94
0,,,지금,94
0,,,이제,94
0,,,것,94
0,,,시간,93
0,,,시작,93
0,,,다시,92
0,,,요즘,92
0,,,이,92
0,,,전,92
0,,,준비,92
0,,,집,91
0,,,말,91
0,,,저,91
0,,,끝,91
0,,,하루,91
0,,,사랑,90
0,,,운동,90
0,,,몸,90
0,,,중,90
0,,,이번,90
0,,,생각,89
0,,,분,89
0,,,개,89
0,,,주말,89
0,,,위,89
0,,,바로,88
0,,,후,88
0,,,여름,88
0,,,사람,88
0,,,일,88
0,,,거,88
0,,,번,88
0,,,다이어트,88
0,,,해,87
0,,,왜,87
0,,,또,87
0,,,살,87
0,,,한번,87
0,,,꼭,87
0,,,아침,87
0,,,보고,86
0,,,추천,86
0,,,제,86
0,,,스타,86
0,,,진짜,86
0,,,안,85
0,,,등,85
0,,,데,85
0,,,정말,84
0,,,친구,84
0,,,처음,84
0,,,선물,83
0,,,도,83
0,,,앞,82
0,,,요,82
0,,,마음,82
0,,,달,82
0,,,기분,82
0,,,만,82
0,,,비,82
0,,,그램,81
0,,,최고,81
0,,,수,81
0,,,모두,80
0,,,얼굴,80
0,,,위해,80
0,,,그냥,80
0,,,맛,80
0,,,역시,80
0,,,때문,80
0,,,내일,79
0,,,마지막,79
0,,,알,79
0,,,관리,79
0,,,여자,78
0,,,날씨,78
0,,,물,78
0,,,뭐,78
0,,,일상,78
0,,,다음,78
0,,,곳,78
0,,,주,77
0,,,영상,77
0,,,어제,77
0,,,그,77
0,,,좀,76
0,,,머리,76
0,,,밥,76
0,,,점,76
0,,,느낌,76
0,,,가지,76
0,,,제품,76
0,,,이벤트,75
0,,,계속,75
0,,,차,75
0,,,인생,75
0,,,명,74
0,,,눈,74
0,,,조금,74
0,,,줄,74
0,,,벌써,74
0,,,저녁,74
0,,,티,74
0,,,이상,74
0,,,세상,73
0,,,모든,73
0,,,걸,73
0,,,여행,73
0,,,항상,73
0,,,진행,73
0,,,밤,72
0,,,필수,72
0,,,시,72
0,,,맛집,72
0,,,걱정,71
0,,,사용,71
0,,,매일,71
0,,,건강,71
0,,,가슴,71
0,,,배,70
0,,,방법,70
0,,,바디,70
0,,,기간,70
0,,,프로필,70
0,,,속,70
0,,,구매,70
0,,,인,70
0,,,남자,69
0,,,제일,69
0,,,뒤,69
0,,,정도,69
0,,,혼자,68
0,,,피,68
0,,,여기,68
0,,,식단,68
0,,,효과,68
0,,,고민,68
0,,,엄마,67
0,,,너,67
0,,,인스타,67
0,,,동안,67
0,,,카페,67
0,,,맘,66
0,,,언제,66
0,,,손,66
0,,,바,66
0,,,직접,66
0,,,은,66
0,,,이유,66
0,,,트,66
0,,,할인,66
0,,,유지,66
0,,,마무리,66
0,,,로,66
0,,,옷,65
0,,,피부,65
0,,,휴가,65
0,,,입,65
0,,,감,64
0,,,누구,64
0,,,를,64
0,,,온,64
0,,,오픈,64
0,,,다른,64
0,,,서울,63
0,,,다리,63
0,,,어디,63
0,,,못,63
0,,,건,63
0,,,풀,63
0,,,추가,63
0,,,힘,62
0,,,듯,62
0,,,힐링,62
0,,,사실,62
0,,,길,62
0,,,용,62
0,,,완전,62
0,,,스,62
0,,,아주,61
0,,,라인,61
0,,,참여,61
0,,,함,61
0,,,끼,61
0,,,가장,61
0,,,장,61
0,,,가족,60
0,,,화이팅,60
0,,,먹기,60
0,,,음식,60
0,,,짐,60
0,,,선택,60
0,,,개인,60
0,,,유,60
0,,,곧,59
0,,,자연,59
0,,,난,59
0,,,글,59
0,,,집중,59
0,,,게,59
0,,,땀,59
0,,,커피,59
0,,,축하,59
0,,,한국,59
0,,,오후,59
0,,,도움,59
0,,,문의,59
0,,,스트레스,59
0,,,아이,58
0,,,어깨,58
0,,,소리,58
0,,,노력,58
0,,,첫,58
0,,,뷰티,58
0,,,자극,58
0,,,무,58
0,,,단,57
0,,,고생,57
0,,,순간,57
0,,,월요일,57
0,,,해도,57
0,,,확인,57
0,,,촬영,57
0,,,팩,57
0,,,가격,57
0,,,닭,57
0,,,선,57
0,,,조절,57
0,,,개월,56
0,,,모습,56
0,,,자주,56
0,,,발,56
0,,,모델,56
0,,,프로,56
0,,,의,56
0,,,일리,56
0,,,기억,55
0,,,토요일,55
0,,,이름,55
0,,,땐,55
0,,,뿐,55
0,,,및,55
0,,,식사,55
0,,,예정,55
0,,,보,55
0,,,볼,54
0,,,덕분,54
0,,,기,54
0,,,완료,54
0,,,쉬,54
0,,,총,54
0,,,링크,54
0,,,디자인,54
0,,,리,54
0,,,응원,53
0,,,후기,53
0,,,오전,53
0,,,남,53
0,,,애,53
0,,,제대로,53
0,,,부분,53
0,,,핑크,53
0,,,여러분,53
0,,,점심,53
0,,,핫,53
0,,,수분,53
0,,,가능,53
0,,,무료,52
0,,,준,52
0,,,세트,52
0,,,도전,52
0,,,터,52
0,,,신분,52
0,,,무엇,52
0,,,목,52
0,,,거리,52
0,,,보기,51
0,,,젠,51
0,,,옆,51
0,,,댓글,51
0,,,감사,51
0,,,파티,51
0,,,지방,51
0,,,먼저,51
0,,,코스,51
0,,,성분,51
0,,,소통,50
0,,,감동,50
0,,,가요,50
0,,,생활,50
0,,,템,50
0,,,미리,50
0,,,일주일,50
0,,,정신,50
0,,,빵,50
0,,,올해,50
0,,,일요일,50
0,,,과,50
0,,,참고,50
0,,,케어,50
0,,,홈,50
0,,,법,50
0,,,기능,50
0,,,사이즈,50
0,,,방,50
0,,,정리,50
0,,,그대로,50
0,,,신경,50
0,,,정,50
0,,,업,50
0,,,잠,49
0,,,구,49
0,,,간식,49
0,,,돈,49
0,,,경험,49
0,,,주문,49
0,,,라면,49
0,,,이용,49
0,,,핏,49
0,,,근육,49
0,,,임,49
0,,,한잔,49
0,,,크림,49
0,,,나이,49
0,,,데이트,49
0,,,레드,49
0,,,아빠,48
0,,,둘,48
0,,,살이,48
0,,,이건,48
0,,,톡,48
0,,,원래,48
0,,,국내,48
0,,,마감,48
0,,,통해,48
0,,,종일,48
0,,,컬러,48
0,,,블랙,48
0,,,별로,48
0,,,봄,48
0,,,얼마나,47
0,,,얼마,47
0,,,자리,47
0,,,다음주,47
0,,,시즌,47
0,,,반,47
0,,,센터,47
0,,,무조건,47
0,,,키,47
0,,,데이,47
0,,,타임,47
0,,,향,47
0,,,통,46
0,,,행복,46
0,,,자기,46
0,,,늘,46
0,,,자꾸,46
0,,,바람,46
0,,,젤,46
0,,,더욱,46
0,,,삶,46
0,,,부터,46
0,,,단백질,46
0,,,상태,46
0,,,에너지,46
0,,,스타일,46
0,,,칼로리,46
0,,,분위기,46
0,,,인증,46
0,,,병원,45
0,,,신청,45
0,,,갑자기,45
0,,,공유,45
0,,,대한,45
0,,,제공,45
0,,,술,45
0,,,메이크업,45
0,,,도착,45
0,,,성공,45
0,,,자,45
0,,,정보,45
0,,,불,45
0,,,체력,45
0,,,가방,45
0,,,불금,45
0,,,스킨,45
0,,,영양,45
0,,,대박,45
0,,,하체,44
0,,,허리,44
0,,,금요일,44
0,,,컨디션,44
0,,,기도,44
0,,,관심,44
0,,,추억,44
0,,,브랜드,44
0,,,헤어,44
0,,,포,44
0,,,동생,44
0,,,여성,44
0,,,하니,44
0,,,진심,44
0,,,화장,44
0,,,산,44
0,,,약,44
0,,,기대,44
0,,,답,44
0,,,징,44
0,,,만들기,44
0,,,기존,44
0,,,수업,43
0,,,울,43
0,,,언니,43
0,,,꿈,43
0,,,대신,43
0,,,꽃,43
0,,,이후,43
0,,,막,43
0,,,장소,43
0,,,현재,43
0,,,평소,43
0,,,포기,43
0,,,움,43
0,,,고,43
0,,,먹방,43
0,,,인정,43
0,,,토,43
0,,,자세,42
0,,,당첨,42
0,,,새벽,42
0,,,선생님,42
0,,,완성,42
0,,,급,42
0,,,적,42
0,,,가야,42
0,,,자신,42
0,,,일단,42
0,,,팅,42
0,,,커플,42
0,,,기본,42
0,,,결과,42
0,,,층,42
0,,,체크,42
0,,,박스,42
0,,,활동,42
0,,,지원,42
0,,,주변,42
0,,,편,41
0,,,소개,41
0,,,과정,41
0,,,호텔,41
0,,,헬스,41
0,,,세계,41
0,,,기회,41
0,,,포인트,41
0,,,각,41
0,,,쌤,41
0,,,거의,41
0,,,섭취,41
0,,,면,41
0,,,샐러드,41
0,,,예약,41
0,,,화장품,41
0,,,바다,41
0,,,아시,41
0,,,이야기,41
0,,,판매,41
0,,,만큼,41
0,,,살짝,41
0,,,실,41
0,,,일이,41
0,,,요리,41
0,,,치킨,41
0,,,코,40
0,,,꿀,40
0,,,절대,40
0,,,이해,40
0,,,하늘,40
0,,,끈,40
0,,,주의,40
0,,,초,40
0,,,작년,40
0,,,지난,40
0,,,연습,40
0,,,약속,40
0,,,상품,40
0,,,목표,40
0,,,생,40
0,,,몸매,40
0,,,마사지,40
0,,,해결,40
0,,,년,40
0,,,맥주,40
0,,,존,40
0,,,공부,40
0,,,고기,40
0,,,웨이,40
0,,,가득,40
0,,,요가,39
0,,,주시,39
0,,,니,39
0,,,중이,39
0,,,비교,39
0,,,담,39
0,,,뭔가,39
0,,,짱,39
0,,,내용,39
0,,,재,39
0,,,상담,39
0,,,배송,39
0,,,셀카,39
0,,,오,39
0,,,화이트,39
0,,,치즈,39
0,,,흡수,39
0,,,는걸,39
0,,,가면,39
0,,,대표,39
0,,,표현,38
0,,,빨,38
0,,,팔,38
0,,,평일,38
0,,,호,38
0,,,열정,38
0,,,회원,38
0,,,웨어,38
0,,,본인,38
0,,,동시,38
0,,,충전,38
0,,,종,38
0,,,누가,38
0,,,다이어트식단,38
0,,,다이어터,38
0,,,진정,38
0,,,카톡,38
0,,,퇴근,38
0,,,체지방,38
0,,,구성,38
0,,,워터,38
0,,,셀,38
0,,,트레이닝,38
0,,,쪽,38
0,,,운,38
0,,,간,38
0,,,링,38
0,,,셀프,38
0,,,고급,38
0,,,예전,38
0,,,피자,38
0,,,체험,37
0,,,점점,37
0,,,모집,37
0,,,거울,37
0,,,그때,37
0,,,상황,37
0,,,비타민,37
0,,,커버,37
0,,,탄력,37
0,,,비키니,37
0,,,증정,37
0,,,생일,37
0,,,부산,37
0,,,방문,37
0,,,가끔,37
0,,,워,37
0,,,거기,37
0,,,광고,37
0,,,부담,37
0,,,샷,37
0,,,프리,37
0,,,제거,37
0,,,강,37
0,,,외,37
0,,,마,37
0,,,식품,37
0,,,하자,37
0,,,질,37
0,,,태그,36
0,,,아래,36
0,,,쥬,36
0,,,별,36
0,,,문제,36
0,,,스스로,36
0,,,덜,36
0,,,벌,36
0,,,자체,36
0,,,컷,36
0,,,현실,36
0,,,전부,36
0,,,피트니스,36
0,,,수고,36
0,,,산소,36
0,,,얼,36
0,,,일찍,36
0,,,강남,36
0,,,전체,36
0,,,착용,36
0,,,우유,36
0,,,헬,36
0,,,잔,36
0,,,행사,36
0,,,이드,36
0,,,전혀,36
0,,,재미,36
0,,,노,36
0,,,세,36
0,,,책,36
0,,,만족,36
0,,,메뉴,36
0,,,타고,36
0,,,기록,35
0,,,푹,35
0,,,함유,35
0,,,마스크,35
0,,,돼지,35
0,,,욕심,35
0,,,연락,35
0,,,진,35
0,,,동영상,35
0,,,뷰,35
0,,,피드,35
0,,,박,35
0,,,대회,35
0,,,소고기,35
0,,,일정,35
0,,,공개,35
0,,,대해,35
0,,,간만,35
0,,,프리미엄,35
0,,,복,35
0,,,변화,35
0,,,치,35
0,,,두,35
0,,,실제,35
0,,,결정,35
0,,,병,35
0,,,반복,35
0,,,교정,35
0,,,경우,35
0,,,코리아,35
0,,,출시,35
0,,,취향,35
0,,,드,35
0,,,개선,35
0,,,디,35
0,,,테스트,35
0,,,달달,35
0,,,달라,35
0,,,쏙,35
0,,,냄새,35
0,,,마리,35
0,,,앤,35
0,,,음료,35
0,,,폼,35
0,,,색,35
0,,,과일,35
0,,,발표,34
0,,,공간,34
0,,,팔로우,34
0,,,자마자,34
