influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
2030109886,no need to know,health,아기,47
,,,요가,44
,,,엄마,43
,,,아가,40
,,,임산부,33
,,,사랑,27
,,,오늘,25
,,,육아,22
,,,나,20
,,,이벤트,20
,,,딸,18
,,,대왕,16
,,,아빠,15
,,,더,15
,,,생후,14
,,,때,14
,,,선물,13
,,,사진,12
,,,우리,12
,,,골반,12
,,,밤,11
,,,침대,11
,,,신생아,11
,,,세상,10
,,,날,10
,,,주,10
,,,황금돼지,10
,,,배,10
,,,체험,10
,,,통,9
,,,운동,9
,,,곧,9
,,,자세,9
,,,천사,8
,,,너,8
,,,남편,8
,,,이모,8
,,,이불,8
,,,만삭,8
,,,귀요미,7
,,,앞,7
,,,모두,7
,,,낮잠,7
,,,둘,7
,,,요,7
,,,맘,7
,,,딸맘,7
,,,집,7
,,,지금,7
,,,소통,7
,,,말,7
,,,임신,7
,,,수술,7
,,,다시,7
,,,출산,7
,,,당첨,7
,,,굿모닝,7
,,,산전,7
,,,영상,7
,,,기록,7
,,,정말,6
,,,애기,6
,,,새벽,6
,,,바로,6
,,,점점,6
,,,살이,6
,,,일기,6
,,,친구,6
,,,행복,6
,,,띠맘,6
,,,후,6
,,,생각,6
,,,마음,6
,,,병원,6
,,,선생님,6
,,,몸,6
,,,코,6
,,,신청,6
,,,단,6
,,,락,6
,,,여름,6
,,,명,6
,,,그램,6
,,,푹,5
,,,자기,5
,,,언제,5
,,,액자,5
,,,내,5
,,,좀,5
,,,사람,5
,,,얼굴,5
,,,해,5
,,,모빌,5
,,,인형,5
,,,위해,5
,,,요즘,5
,,,왜,5
,,,잠,5
,,,옷,5
,,,시간,5
,,,뱃속,5
,,,존재,5
,,,달,5
,,,이제,5
,,,조리,5
,,,기운,5
,,,보고,5
,,,에시앙,5
,,,아사나,5
,,,개월,5
,,,풀기,5
,,,시원,5
,,,목욕,4
,,,웃음,4
,,,꿀잠,4
,,,저,4
,,,갑자기,4
,,,표정,4
,,,표현,4
,,,모유,4
,,,도,4
,,,하나,4
,,,내딸,4
,,,고생,4
,,,눈,4
,,,띠,4
,,,머리,4
,,,일,4
,,,것,4
,,,진통,4
,,,태변,4
,,,걱정,4
,,,여자,4
,,,중,4
,,,감동,4
,,,조금,4
,,,자궁,4
,,,리그,4
,,,램,4
,,,가족,4
,,,자연,4
,,,밤부,4
,,,시어서커,4
,,,보트,4
,,,고양이,4
,,,볼스터,4
,,,강의,4
,,,신랑,3
,,,폭풍,3
,,,어제,3
,,,아주,3
,,,자고,3
,,,모습,3
,,,쪼꼬,3
,,,거,3
,,,배냇,3
,,,말로,3
,,,찌,3
,,,기억,3
,,,충북,3
,,,훈련,3
,,,비누,3
,,,밥,3
,,,빨래,3
,,,토요일,3
,,,또,3
,,,삼촌,3
,,,내일,3
,,,안나,3
,,,남양주,3
,,,서울,3
,,,가요,3
,,,안,3
,,,구,3
,,,희생,3
,,,검사,3
,,,살,3
,,,태교,3
,,,늘,3
,,,심박수,3
,,,응급,3
,,,의사,3
,,,순간,3
,,,항생제,3
,,,다행,3
,,,새끼,3
,,,수업,3
,,,시작,3
,,,난,3
,,,보기,3
,,,젠,3
,,,베개,3
,,,필,3
,,,로우,3
,,,계속,3
,,,환영,3
,,,주시,3
,,,외할머니,3
,,,고통,3
,,,무료,3
,,,청남대,3
,,,막달,3
,,,모집,3
,,,그냥,3
,,,소재,3
,,,해시태그,3
,,,비비,3
,,,함유,3
,,,추천,3
,,,발표,3
,,,방법,3
,,,해당,3
,,,아이,3
,,,하체,3
,,,어깨,3
,,,거울,3
,,,허리,3
,,,베이비,3
,,,마스크,3
,,,삼성,3
,,,지도자,3
,,,월요일,3
,,,금요일,3
,,,결혼식,3
,,,수리야,3
,,,마스카라,3
,,,내전,2
,,,내사,2
,,,컨디션,2
,,,힘,2
,,,기분,2
,,,넌,2
,,,아내,2
,,,사진촬영,2
,,,기적,2
,,,울,2
,,,잉,2
,,,품,2
,,,다리,2
,,,왜케,2
,,,해딸,2
,,,모로,2
,,,반사,2
,,,몇번,2
,,,찍기,2
,,,볼,2
,,,완성,2
,,,배냇저고리,2
,,,탄생,2
,,,널,2
,,,증평,2
,,,돼지,2
,,,피부,2
,,,꿀,2
,,,몸짓,2
,,,맛,2
,,,신세계,2
,,,기성,2
,,,다크,2
,,,보물,2
,,,언니,2
,,,청소,2
,,,싹,2
,,,등,2
,,,준,2
,,,이,2
,,,날씨,2
,,,군인,2
,,,고모,2
,,,물,2
,,,공간,2
,,,장비,2
,,,빨,2
,,,이건,2
,,,절대,2
,,,하루하루,2
,,,차,2
,,,아야,2
,,,글,2
,,,결혼,2
,,,한마디,2
,,,상처,2
,,,편,2
,,,이해,2
,,,집중,2
,,,그때,2
,,,심장,2
,,,소리,2
,,,양수,2
,,,상황,2
,,,장담,2
,,,얼마나,2
,,,커서,2
,,,꼬물거리,2
,,,옆,2
,,,도하,2
,,,울음,2
,,,축복,2
,,,이자,2
,,,손,2
,,,려고,2
,,,한번,2
,,,기도,2
,,,산후조리원,2
,,,분,2
,,,복덩이,2
,,,셋,2
,,,졸업,2
,,,낮밤,2
,,,좀비,2
,,,생활,2
,,,타이,2
,,,욕심,2
,,,성장,2
,,,헴프,2
,,,접종,2
,,,이주아,2
,,,바디,2
,,,수유,2
,,,쿠션,2
,,,사랑둥이,2
,,,게,2
,,,오늘밤,2
,,,땀,2
,,,마법,2
,,,나비잠,2
,,,수트,2
,,,이틀,2
,,,콧물,2
,,,끝,2
,,,온몸,2
,,,수요일,2
,,,이름,2
,,,모든,2
,,,단말,2
,,,제자,2
,,,연락,2
,,,응원,2
,,,보더,2
,,,뭐,2
,,,화이팅,2
,,,태아,2
,,,전화,2
,,,제,2
,,,소독기,2
,,,젖병,2
,,,템,2
,,,바,2
,,,인스타,2
,,,후기,2
,,,기저귀,2
,,,개,2
,,,하늘,2
,,,나들이,2
,,,기간,2
,,,배속,2
,,,생명,2
,,,치골,2
,,,밑,2
,,,전,2
,,,런칭,2
,,,직접,2
,,,점,2
,,,공유,2
,,,부사,2
,,,끈,2
,,,사용,2
,,,팔로우,2
,,,댓글,2
,,,소환,2
,,,급,2
,,,예비,2
,,,해도,2
,,,커피,2
,,,필수,2
,,,태그,2
,,,업로드,2
,,,확률,2
,,,스타,2
,,,고정,2
,,,산모,2
,,,순환,2
,,,압박,2
,,,달이,2
,,,옆구리,2
,,,갈비뼈,2
,,,처음,2
,,,싸개,2
,,,누,2
,,,대전,2
,,,페어,2
,,,빵집,2
,,,주름,2
,,,랑드,2
,,,주말,2
,,,어디,2
,,,반지,2
,,,매년,2
,,,전자,2
,,,상반기,2
,,,치유,2
,,,듯,2
,,,진짜,2
,,,기울기,2
