,category,how_many_influencer,words,words_count
0,interior,100,,100
0,,,더,98
0,,,집,98
0,,,우리,97
0,,,때,96
0,,,인테리어,96
0,,,사용,95
0,,,오늘,95
0,,,수,94
0,,,시간,94
0,,,아이,94
0,,,디자인,93
0,,,위,93
0,,,것,93
0,,,나,93
0,,,하나,93
0,,,느낌,93
0,,,여름,93
0,,,준비,92
0,,,가지,92
0,,,사진,92
0,,,하루,91
0,,,곳,91
0,,,시작,91
0,,,일,91
0,,,후,91
0,,,날,91
0,,,요,90
0,,,내,90
0,,,선물,90
0,,,제품,89
0,,,등,89
0,,,중,89
0,,,기분,89
0,,,생각,89
0,,,추천,89
0,,,주말,88
0,,,일상,88
0,,,이,88
0,,,만,88
0,,,카페,88
0,,,분,87
0,,,도,87
0,,,로,87
0,,,요즘,87
0,,,스타,87
0,,,비,87
0,,,모두,86
0,,,지금,86
0,,,정말,86
0,,,거,86
0,,,이번,85
0,,,전,85
0,,,한번,85
0,,,구매,84
0,,,그,84
0,,,위해,84
0,,,친구,84
0,,,해,84
0,,,개,83
0,,,아침,83
0,,,이제,83
0,,,또,83
0,,,꼭,83
0,,,용,83
0,,,홈,82
0,,,속,82
0,,,가족,82
0,,,바로,82
0,,,제,82
0,,,사람,81
0,,,컬러,81
0,,,점,81
0,,,물,81
0,,,손,81
0,,,마음,81
0,,,사랑,81
0,,,공간,80
0,,,가격,80
0,,,눈,80
0,,,안,80
0,,,이벤트,79
0,,,방,79
0,,,여행,78
0,,,데,78
0,,,고민,78
0,,,걱정,78
0,,,미니,78
0,,,최고,78
0,,,분위기,78
0,,,저,77
0,,,때문,77
0,,,끝,77
0,,,직접,77
0,,,오픈,76
0,,,선택,76
0,,,시,76
0,,,가장,76
0,,,차,76
0,,,역시,76
0,,,그램,76
0,,,말,76
0,,,날씨,76
0,,,감,75
0,,,커피,75
0,,,진행,75
0,,,자연,75
0,,,좀,75
0,,,기간,75
0,,,매일,74
0,,,저녁,74
0,,,완성,74
0,,,후기,74
0,,,필수,74
0,,,주문,74
0,,,보고,74
0,,,인,74
0,,,확인,73
0,,,소품,73
0,,,다시,73
0,,,브랜드,73
0,,,알,73
0,,,다음,73
0,,,할인,73
0,,,맘,73
0,,,맛,73
0,,,밤,73
0,,,배송,73
0,,,주방,73
0,,,주,72
0,,,정리,72
0,,,를,72
0,,,엄마,72
0,,,기능,72
0,,,움,72
0,,,정도,72
0,,,트,71
0,,,사이즈,71
0,,,온,71
0,,,달,71
0,,,가구,71
0,,,화이트,71
0,,,감성,71
0,,,은,70
0,,,생활,70
0,,,세트,70
0,,,볼,70
0,,,번,70
0,,,혼자,70
0,,,앞,70
0,,,소재,69
0,,,더욱,69
0,,,관리,69
0,,,살,69
0,,,향,69
0,,,진짜,69
0,,,거실,69
0,,,아주,69
0,,,방법,69
0,,,처음,69
0,,,테이블,68
0,,,활용,68
0,,,바,68
0,,,완료,68
0,,,효과,68
0,,,휴가,68
0,,,소개,67
0,,,줄,67
0,,,스,67
0,,,템,67
0,,,책,67
0,,,몸,67
0,,,듯,67
0,,,블랙,67
0,,,라인,67
0,,,추가,66
0,,,구성,66
0,,,다른,66
0,,,어디,66
0,,,걸,66
0,,,이상,66
0,,,마지막,66
0,,,오후,66
0,,,동안,66
0,,,제작,65
0,,,판매,65
0,,,아이템,65
0,,,매장,65
0,,,피부,65
0,,,늘,65
0,,,계속,65
0,,,너,65
0,,,자주,64
0,,,목,64
0,,,침대,64
0,,,맛집,64
0,,,입,64
0,,,건,64
0,,,보기,64
0,,,핫,64
0,,,옷,64
0,,,이유,64
0,,,내일,64
0,,,의,63
0,,,방문,63
0,,,및,63
0,,,벌써,63
0,,,포인트,63
0,,,아기,63
0,,,건강,63
0,,,영상,63
0,,,상품,63
0,,,단,63
0,,,여기,63
0,,,가능,63
0,,,층,62
0,,,예정,62
0,,,일리,62
0,,,통해,62
0,,,참여,62
0,,,밥,62
0,,,글,62
0,,,부분,62
0,,,왜,62
0,,,함,62
0,,,옆,62
0,,,먼저,61
0,,,모든,61
0,,,음식,61
0,,,덕분,61
0,,,행사,61
0,,,리,61
0,,,티,61
0,,,바람,61
0,,,인기,61
0,,,인스타,61
0,,,꽃,61
0,,,조금,60
0,,,봄,60
0,,,요리,60
0,,,핑크,60
0,,,통,60
0,,,무,60
0,,,완전,60
0,,,출시,59
0,,,첫,59
0,,,구입,59
0,,,스타일,59
0,,,둘,59
0,,,화장,59
0,,,그냥,59
0,,,뭐,59
0,,,풀,59
0,,,오전,59
0,,,미리,59
0,,,살짝,59
0,,,가방,58
0,,,천연,58
0,,,한잔,58
0,,,장,58
0,,,모습,58
0,,,제거,58
