influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
1186057393,no need to know,interior,서커스,112
,,,보이밴드,112
,,,운영,48
,,,시리즈,42
,,,쇼룸,42
,,,수,41
,,,일러스트,33
,,,시간,32
,,,서울,27
,,,오픈,23
,,,제품,22
,,,온라인,22
,,,남산,22
,,,케이스,21
,,,스토어,21
,,,준비,19
,,,소월로,19
,,,피,16
,,,규어,16
,,,디자인,16
,,,가지,16
,,,관계,15
,,,중구,14
,,,변동,14
,,,이번,13
,,,주,13
,,,층,13
,,,공원,13
,,,톡,13
,,,확인,12
,,,플레이,12
,,,월길,12
,,,위,12
,,,트,11
,,,사무실,11
,,,일시,11
,,,실시간,11
,,,사용,11
,,,의,11
,,,오늘,10
,,,코너,10
,,,은,10
,,,테이블,10
,,,머그,9
,,,마켓,9
,,,아이폰,9
,,,예정,9
,,,활용,8
,,,추가,8
,,,유리컵,8
,,,제작,8
,,,사람,8
,,,작업,8
,,,오프라인,8
,,,가죽,8
,,,지갑,8
,,,컬러,8
,,,킨키,8
,,,로봇,8
,,,모두,7
,,,출시,7
,,,참고,7
,,,등,7
,,,점,7
,,,색상,7
,,,포켓,7
,,,마우스패드,7
,,,가방,7
,,,첫,6
,,,방문,6
,,,계획,6
,,,키,6
,,,스마트,6
,,,업데이트,6
,,,곧,6
,,,오아시스,6
,,,핸드폰,6
,,,여행,6
,,,스티커,6
,,,용량,5
,,,안정,5
,,,에어팟,5
,,,구매,5
,,,선택,5
,,,구성,5
,,,비단,5
,,,콤마,5
,,,각,5
,,,층별,5
,,,시,5
,,,그림,5
,,,오스,5
,,,수납,5
,,,링북,5
,,,순차,5
,,,매일,5
,,,크기,5
,,,프린트,5
,,,베이커리,5
,,,소품,5
,,,토이,4
,,,선,4
,,,션,4
,,,글라스,4
,,,주말,4
,,,요,4
,,,지금,4
,,,위치,4
,,,사진,4
,,,화,4
,,,목금,4
,,,비롯,4
,,,과,4
,,,먼저,4
,,,형태,4
,,,재,4
,,,머그컵,4
,,,숍,4
,,,카멜리아,4
,,,힐,4
,,,다시,4
,,,데,4
,,,일리,4
,,,때,4
,,,정리,4
,,,지퍼,4
,,,박스,3
,,,베이징,3
,,,종,3
,,,관심,3
,,,전시,3
,,,여유,3
,,,바,3
,,,티셔츠,3
,,,일부,3
,,,소비,3
,,,컨셉,3
,,,진,3
,,,모든,3
,,,일정,3
,,,마련,3
,,,재고,3
,,,수요일,3
,,,안내,3
,,,내부,3
,,,분,3
,,,물,3
,,,도,3
,,,우리,3
,,,웨어,3
,,,두,3
,,,취향,3
,,,제일,3
,,,구입,3
,,,카드,3
,,,사이즈,3
,,,천연,3
,,,것,3
,,,휴대,3
,,,나,3
,,,두번째,3
,,,접시,3
,,,제주,3
,,,생활,3
,,,소재,3
,,,감,3
,,,판매,3
,,,처,3
,,,잠실,3
,,,롯데,3
,,,압구정,3
,,,홍대,3
,,,패드,3
,,,비치,3
,,,약,3
,,,포레스트,3
,,,맨,3
,,,파우치,3
,,,표정,3
,,,리지,3
,,,블라인드,2
,,,쇼,2
,,,에디,2
,,,출시일,2
,,,손,2
,,,음료,2
,,,컵,2
,,,저녁,2
,,,검품,2
,,,이벤트,2
,,,및,2
,,,브랜드,2
,,,협업,2
,,,공간,2
,,,주소,2
,,,확행,2
,,,아이템,2
,,,일상,2
,,,소개,2
,,,부정,2
,,,비관,2
,,,급,2
,,,가격,2
,,,인하,2
,,,소량,2
,,,별도,2
,,,문의,2
,,,통한,2
,,,답변,2
,,,내,2
,,,이,2
,,,정비,2
,,,한잔,2
,,,통해,2
,,,테마,2
,,,중,2
,,,하나,2
,,,당신,2
,,,알,2
,,,수도,2
,,,휴대폰,2
,,,더,2
,,,품절,2
,,,를,2
,,,영감,2
,,,기분,2
,,,자로,2
,,,안쪽,2
,,,자주,2
,,,보관,2
,,,장,2
,,,색,2
,,,집,2
,,,완성,2
,,,매장,2
,,,그림책,2
,,,면기,2
,,,서귀포시,2
,,,수목원,2
,,,총,2
,,,온,2
,,,우주,2
,,,과일,2
,,,노트,2
