influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
16636897,no need to know,moms,줄,103
,,,아이,66
,,,유아,58
,,,책,58
,,,녀석,53
,,,그램,43
,,,추천,41
,,,수,41
,,,세이,41
,,,맘,39
,,,보드게임,38
,,,생활,37
,,,펜,36
,,,전집,33
,,,스타,33
,,,육아,33
,,,가지,32
,,,때,32
,,,키,32
,,,굿,31
,,,습관,28
,,,학습,27
,,,엄마,26
,,,북,26
,,,게임,24
,,,또한,24
,,,여름,24
,,,달콩,23
,,,인지,22
,,,이번,22
,,,또,22
,,,아기,22
,,,기저귀,21
,,,재기,21
,,,처음,20
,,,어묵,20
,,,시간,19
,,,사용,19
,,,거,19
,,,독서,19
,,,집,18
,,,통통,18
,,,체험,17
,,,앞,17
,,,교육,16
,,,곳,16
,,,맛,16
,,,내일,16
,,,오늘,15
,,,뽀로로,15
,,,맛집,15
,,,카드,15
,,,간식,15
,,,선물,15
,,,소나,15
,,,용,14
,,,우리,14
,,,가장,14
,,,보고,14
,,,키자니아,14
,,,꼭,14
,,,스티커,14
,,,저금,14
,,,현재,14
,,,이벤트,14
,,,하뚱,14
,,,이,13
,,,더욱,13
,,,완전,13
,,,요새,13
,,,걸,13
,,,자연,13
,,,복숭아,13
,,,로션,13
,,,날씨,12
,,,달,12
,,,디자인,12
,,,아들,12
,,,동화,12
,,,차,12
,,,수학,12
,,,자전거,12
,,,바오밥,11
,,,더,11
,,,내,11
,,,정도,11
,,,가득,11
,,,청라,11
,,,일드,11
,,,물놀이,11
,,,통,11
,,,예스,11
,,,교구,10
,,,가족,10
,,,말,10
,,,여름방학,10
,,,때문,10
,,,찐빵,10
,,,키즈,10
,,,주말,10
,,,물티슈,10
,,,사은,10
,,,품,10
,,,창작동화,10
,,,후,10
,,,인성동,10
,,,칭찬,10
,,,도움,10
,,,두,9
,,,교실,9
,,,바로,9
,,,교재,9
,,,놀이,9
,,,여기,9
,,,징,9
,,,필수품,9
,,,로,9
,,,하나,9
,,,홈,9
,,,구매,9
,,,케이,9
,,,스스로,9
,,,외출,9
,,,도,9
,,,활동,9
,,,나,9
,,,한국,9
,,,아카데미,9
,,,명꼬,9
,,,두피,9
,,,생리대,9
,,,미술,9
,,,매일,8
,,,항상,8
,,,등,8
,,,대해,8
,,,젠,8
,,,알,8
,,,것,8
,,,참여,8
,,,집중,8
,,,점,8
,,,뒤,8
,,,시,8
,,,선택,8
,,,이상,8
,,,어플,8
,,,동물,8
,,,기분,8
,,,피부,8
,,,친구,8
,,,삼진,8
,,,베이비,8
,,,하루,8
,,,모발,8
,,,평소,8
,,,나들이,8
,,,산소,8
,,,썬팅,8
,,,마련,7
,,,인기,7
,,,신생아,7
,,,무엇,7
,,,휴대,7
,,,쉬,7
,,,가드,7
,,,구명조끼,7
,,,날,7
,,,를,7
,,,아스타,7
,,,끼,7
,,,흡수,7
,,,제품,7
,,,자기,7
,,,종,7
,,,기록,7
,,,고고,7
,,,워,7
,,,샴푸,7
,,,차트,7
,,,하니,7
,,,세제,7
,,,주방,7
,,,횟집,7
,,,모임,7
,,,장난감,6
,,,가족게임,6
,,,티비,6
