influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
4052985018,no need to know,pet,샤샤,26
,,,고양이,22
,,,오늘,8
,,,아침,4
,,,친구,4
,,,갑자기,4
,,,인형,4
,,,더,4
,,,니아,3
,,,잠,3
,,,배,3
,,,손,3
,,,뭔가,2
,,,장난감,2
,,,알,2
,,,혀,2
,,,혼자,2
,,,꼬리,2
,,,안녕,2
,,,내,2
,,,이름,2
,,,대리,2
,,,천재,2
,,,꾹꾹,2
,,,엄마,2
,,,나,2
,,,여러분,2
,,,병원,2
,,,후,2
,,,지금,2
,,,집,2
,,,날,2
,,,츄르,2
,,,소리,2
,,,젤리,2
,,,입,2
,,,젤,2
,,,때,2
,,,책상,2
,,,점,2
,,,모찌,2
,,,자,2
,,,걸,2
,,,밑,2
,,,빼꼼,2
,,,냥,2
,,,방송,2
,,,밤,2
,,,금요일,2
,,,악세사리,2
,,,집사,2
,,,자기,2
,,,얼굴,2
,,,보라카이,2
,,,어쩐지,1
,,,가슴,1
,,,사진,1
,,,날씨,1
,,,제일,1
,,,건,1
,,,간식,1
,,,시간,1
,,,포즈,1
,,,거대,1
,,,고양,1
,,,지렁이,1
,,,펑,1
,,,대답,1
,,,아기,1
,,,하루,1
,,,움,1
,,,할당량,1
,,,처리,1
,,,제,1
,,,뱀,1
,,,고앵,1
,,,첫날,1
,,,이하,1
,,,면서,1
,,,조,1
,,,도마,1
,,,드림캐쳐,1
,,,카페,1
,,,닭갈비,1
,,,눈송이,1
,,,송송,1
,,,송,1
,,,피카츄,1
,,,말,1
,,,곰,1
,,,동물병원,1
,,,별로,1
,,,어제,1
,,,뒷다리,1
,,,개구,1
,,,호흡,1
,,,등,1
,,,현상,1
,,,검사,1
,,,선천,1
,,,심장,1
,,,기형,1
,,,병명,1
,,,검진,1
,,,초음파,1
,,,엑스레이,1
,,,심장병,1
,,,기전,1
,,,것,1
,,,병,1
,,,해도,1
,,,수의학,1
,,,수술,1
,,,진통제,1
,,,혈전,1
,,,약,1
,,,투여,1
,,,하체,1
,,,마비,1
,,,부디,1
,,,명복,1
,,,밀고,1
,,,잠꼬대,1
,,,먀옹,1
,,,몰래,1
,,,찾기,1
,,,꼭,1
,,,여,1
,,,빵실,1
,,,부럽쥬,1
,,,지기,1
,,,애완동물,1
,,,사람,1
,,,등골,1
,,,신비,1
,,,잠자리,1
,,,타협,1
,,,꺄,1
,,,걸음,1
,,,거리,1
,,,저기,1
,,,비몽,1
,,,몽,1
,,,새,1
,,,책,1
,,,볼,1
,,,부비부비,1
,,,중,1
,,,학교,1
,,,얼른,1
,,,침대,1
,,,구,1
,,,고인,1
,,,줄,1
,,,왜케,1
,,,는걸,1
,,,요기,1
,,,카메라,1
,,,욕심,1
,,,주문,1
,,,마담,1
,,,알렉산더,1
,,,장미,1
,,,지지,1
,,,다행,1
,,,손목,1
,,,가운데,1
,,,양자리,1
,,,왜,1
,,,샤샤밥쥬,1
,,,덩쿨,1
,,,마음껏,1
,,,댜,1
,,,부럽쬬,1
,,,너,1
,,,좀,1
,,,아아,1
,,,뇨,1
,,,창문,1
,,,구름,1
,,,실시간,1
,,,영상,1
,,,기본,1
,,,자세,1
,,,더욱,1
,,,이해,1
,,,수,1
,,,꽃,1
,,,품,1
,,,힐끔,1
,,,스타,1
,,,렘,1
