influencer_pk,influencer_id,influencer_category,all_feed_word,word_count
1916736682,no need to know,travel,여행,366
,,,스타,92
,,,그램,92
,,,슬라이드,63
,,,오키나와,59
,,,내셔널,52
,,,캐리어,52
,,,지오,51
,,,그래픽,51
,,,마카오,46
,,,스페인,45
,,,나트랑,45
,,,요르단,30
,,,다낭,28
,,,이스라엘,25
,,,올림푸스,24
,,,유럽,24
,,,코타키나발루,24
,,,일본,22
,,,베트남,22
,,,일본여행,21
,,,수,19
,,,필리핀,19
,,,호텔,18
,,,추천,18
,,,반사,18
,,,말레이시아,18
,,,맛집,17
,,,패션,17
,,,자유여행,17
,,,촬영,16
,,,페럴,16
,,,리조트,15
,,,항공,15
,,,후쿠오카,14
,,,가드,14
,,,관광,14
,,,청,14
,,,아시아나,14
,,,하나투어,13
,,,휴가,13
,,,세부,13
,,,오쿠마,13
,,,겟어바웃,12
,,,에어,12
,,,메스,12
,,,사진,11
,,,바캉스,11
,,,비치,11
,,,여름,11
,,,선셋,11
,,,페트라,10
,,,교자,10
,,,가방,10
,,,석양,10
,,,때,9
,,,예약,9
,,,래시,9
,,,보라카이,9
,,,호이안,9
,,,오늘,8
,,,하야,8
,,,세계,8
,,,인친,8
,,,분,8
,,,투어,8
,,,것,8
,,,숙소,8
,,,빈펄,8
,,,거리,7
,,,내,7
,,,이,7
,,,곳,7
,,,소원,7
,,,꼭,7
,,,이벤트,7
,,,정답,7
,,,지금,7
,,,덕분,6
,,,국제,6
,,,중,6
,,,아래,6
,,,선착순,6
,,,두,6
,,,보홀,6
,,,빗,6
,,,피치항공,6
,,,날씨,6
,,,영상,6
,,,마사지,6
,,,프로필,5
,,,완전,5
,,,하나,5
,,,다시,5
,,,퀴즈,5
,,,요,5
,,,점,5
,,,야경,5
,,,위,5
,,,분위기,5
,,,번,5
,,,파리,5
,,,에펠탑,5
,,,시작,5
,,,워터,5
,,,역시,5
,,,바르셀로나,5
,,,일정,5
,,,카페,5
,,,생각,4
,,,트,4
,,,트리젠,4
,,,벽,4
,,,해,4
,,,저,4
,,,현지,4
,,,무엇,4
,,,사실,4
,,,말,4
,,,나,4
,,,다음,4
,,,시간,4
,,,매력,4
,,,델타항공,4
,,,타고,4
,,,미국,4
,,,비행기,4
,,,제대로,4
,,,혜택,4
,,,맛,4
,,,다단,4
,,,인생,4
,,,혼행,4
,,,이제,4
,,,등,4
,,,의,4
,,,오키,4
,,,바다,4
,,,성,4
,,,핑크,4
,,,인천,4
,,,노선,4
,,,어디,4
,,,나짱,4
,,,코스,4
,,,빌라,4
,,,알래스카,4
,,,알,3
,,,사람,3
,,,가장,3
,,,정말,3
,,,해외여행,3
,,,처음,3
,,,스튜디오,3
,,,마음,3
,,,날,3
,,,냉,3
,,,오리온,3
,,,잔,3
,,,시,3
,,,불가사의,3
,,,성전,3
,,,볼,3
,,,틈,3
,,,이번,3
,,,거,3
,,,직접,3
,,,필수,3
,,,준비,3
,,,굿이어,3
,,,용,3
,,,바다거북,3
,,,프라이,3
,,,쿠,3
,,,마프,3
,,,앤,3
,,,링크,3
,,,통해,3
,,,리,3
,,,워드,3
,,,베네시안,3
,,,호캉스,3
,,,온,3
,,,기념,3
,,,볼륨,3
,,,오징어,3
,,,게다가,3
,,,개,3
,,,베,3
,,,어제,3
,,,안,3
,,,두번째,3
,,,쉬,3
,,,더욱,3
,,,시샤,3
,,,아이템,3
,,,는걸,3
,,,토사,3
,,,데,3
,,,마르,3
,,,호수,3
,,,쿠엔카,3
,,,기대,3
,,,한번,3
,,,필링,3
,,,충만,3
,,,에그타르트,3
,,,코,3
,,,노미,3
,,,안방,3
,,,코코,3
,,,아오자이,3
,,,하와이,3
,,,자신,2
,,,궁,2
,,,도움,2
,,,줄,2
,,,이유,2
,,,가슴,2
,,,찍기,2
,,,여간,2
,,,게,2
,,,진행,2
,,,리젠시,2
,,,나하,2
,,,렌즈,2
,,,통곡,2
,,,일부,2
,,,그,2
,,,전쟁,2
,,,서쪽,2
,,,가면,2
,,,빌어,2
,,,를,2
,,,수도원,2
,,,카메라,2
,,,움,2
,,,뭔가,2
,,,와디,2
,,,럼,2
,,,사막,2
,,,은하수,2
,,,별똥별,2
,,,모두,2
,,,도전,2
,,,한국,2
,,,만난,2
,,,나라,2
,,,보기,2
,,,보고,2
,,,준비물,2
,,,타이어,2
,,,스쿠버다이빙,2
,,,뉴,2
,,,그랑블루,2
